Model,R2_Tanpa_FE_Mean,R2_Tanpa_FE_Std,R2_Dengan_FE_Mean,R2_Dengan_FE_Std,T_Statistic,P_Value,Signifikan_0_05
XGBoost,0.7745,0.037,0.7895,0.0375,5.5133,1.3031e-06,Signifikan (p < 0.05)
Random Forest,0.7585,0.0369,0.7658,0.0364,4.4988,4.2092e-05,Signifikan (p < 0.05)
