judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data,wilayah_scraping
"Murah Dijual Rumah Pusat Kota Jalan Sumatra, Gubeng, Surabaya",14000000000,437.0,388.0,,6.0,1,2.0,Unfurnished,0,1,"Gubeng, Surabaya",-7.27396,112.748192,https://www.rumah123.com/properti/surabaya-gubeng/murah-dijual-rumah-pusat-kota-jalan-sumatra-gubeng-surabaya-hos40839540/,rumah123,Surabaya Timur
"Murah Dijual Rumah Ex Kantor Jalan Lombok, Gubeng. Flores Bawean",11000000000,396.0,410.0,6.0,3.0,2,3.0,Unfurnished,1,1,"Gubeng, Surabaya",-7.27396,112.74819,https://www.rumah123.com/properti/surabaya-gubeng/murah-dijual-rumah-ex-kantor-jalan-lombok-gubeng-flores-bawean-hos11719086/,rumah123,Surabaya Timur
"Murah Dijual Rumah Mewah Jalan Biliton, Gubeng, Surabaya",46250000000,830.0,1900.0,8.0,7.0,3,10.0,Semi Furnished,1,1,"Gubeng, Surabaya",-7.27396,112.748192,https://www.rumah123.com/properti/surabaya-gubeng/turun-harga-rumah-mewah-pusat-kota-jl-biliton-gubeng-surabaya-hos41062281/,rumah123,Surabaya Timur
"Rumah Pondok Benowo Indah, On Progress, SHM, Dekat Tol",875000000,97.0,140.0,3.0,3.0,2,1.0,Unfurnished,1,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/rumah-pondok-benowo-indah-on-progress-shm-dekat-tol-hos39897003/,rumah123,Surabaya Barat
Rumah Baru Ready Unit Benowo Surabaya Dekat Gelora Bung Tomo,550000000,66.0,36.0,2.0,1.0,1,1.0,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/rumah-baru-ready-unit-benowo-surabaya-dekat-gelora-bung-tomo-hos42265435/,rumah123,Surabaya Barat
"Lelang Gudang | Daerah Benowo, Cuma 500 Juta",500000000,302.0,302.0,,,1,,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/lelang-gudang-daerah-benowo-cuma-500-juta-hos42365814/,rumah123,Surabaya Barat
Lelang Rumah 1 Lantai | Daerah Kandangan,611000000,120.0,120.0,,,1,,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/lelang-rumah-1-lantai-daerah-kandangan-hos42370784/,rumah123,Surabaya Barat
Lelang Rumah | Daerah Kendangsari | Xuma.eoo,600000000,93.0,93.0,,,1,,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/lelang-rumah-daerah-kendangsari-xumaeoo-hos42433326/,rumah123,Surabaya Barat
"Dijual Rumah Jl. Klakah Rejo , Kelurahan Kandangan Kecamatan Benowo. Surabaya",1750000000,150.0,150.0,3.0,1.0,1,1.0,Unfurnished,1,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/dijual-rumah-jl-klakah-rejo-kelurahan-kandangan-kecamatan-benowo-surabaya-hos42311591/,rumah123,Surabaya Barat
Rumah Baru Minimalis Pondok Benowo Indah Jalan Lebar & Strategis,975000000,99.0,150.0,3.0,3.0,2,,Unfurnished,1,1,"Benowo, Surabaya",-7.24168197366096,112.62865145766892,https://www.rumah123.com/properti/surabaya-benowo/rumah-baru-minimalis-pondok-benowo-indah-jalan-lebar-strategis-hos41885454/,rumah123,Surabaya Barat
Rumah 3 Lantai Di Perumahan Surabaya Barat Dijual Murah,1800000000,119.0,200.0,4.0,5.0,4,,Unfurnished,1,1,"Benowo, Surabaya",-7.23213,112.63014,https://www.rumah123.com/properti/surabaya-benowo/rumah-3-lantai-di-perumahan-surabaya-barat-dijual-murah-hos17937133/,rumah123,Surabaya Barat
Perumahan Tanpa DP Dekat Gelora Bung Tomo,633000000,60.0,36.0,2.0,1.0,1,1.0,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/perumahan-tanpa-dp-dekat-gelora-bung-tomo-hos41072668/,rumah123,Surabaya Barat
Rumah Siap Huni di Perumahan Dekat Stadion Gelora Bung Tomo,550000000,96.0,84.0,3.0,1.0,1,1.0,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.63014,https://www.rumah123.com/properti/surabaya-benowo/rumah-siap-huni-di-perumahan-dekat-stadion-gelora-bung-tomo-hos19154551/,rumah123,Surabaya Barat
Rumah Mewah Dekat Gelora Bung Tomo,863000000,84.0,45.0,2.0,1.0,1,1.0,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/rumah-mewah-dekat-gelora-bung-tomo-hos41099469/,rumah123,Surabaya Barat
Rumah Baru Gress SHM Selangkah ke Citraland Northwest,285000000,48.0,38.0,2.0,1.0,1,1.0,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/rumah-baru-gress-shm-selangkah-ke-citraland-northwest-hos42389783/,rumah123,Surabaya Barat
Harga Ambyar-Jual Serius-Rmh Jl Kendung Benowo!!,700000000,67.0,134.0,3.0,3.0,2,1.0,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/harga-ambyarjual-seriusrmh-jl-kendung-benowo-hos42116549/,rumah123,Surabaya Barat
