judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data,wilayah_scraping
Rumah Mewah di Perumahan Elite Puri Galaxy,4950000000,375.0,500.0,5,4,2,,Unfurnished,0,0,"Sukolilo, Surabaya",-7.28813,112.8029,https://www.rumah123.com/properti/surabaya-sukolilo/rumah-mewah-di-perumahan-elite-puri-galaxy-hos42375963/,rumah123,Surabaya Timur
Rumah Puri Galaxy 2 Lantai Baru ITS WM UNAIR PAKUWON CITY,1900000000,96.0,114.0,3,3,2,2.0,Unfurnished,1,1,"Sukolilo, Surabaya",-7.28813,112.8029,https://www.rumah123.com/properti/surabaya-sukolilo/rumah-puri-galaxy-2-lantai-baru-its-wm-unair-pakuwon-city-hos11477329/,rumah123,Surabaya Timur
Dijual Rumah Mewah Modern Classic Araya Tahap1 Surabaya Timur,31000000000,1000.0,2000.0,10,7,2,8.0,Unfurnished,1,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/dijual-rumah-mewah-modern-classic-araya-tahap1-surabaya-timur-hos42149606/,rumah123,Surabaya Timur
Dijual Rumah Sukolilo Dian Regency 2 Keputih Surabaya Timur,1350000000,119.0,119.0,5,2,1,,Unfurnished,0,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/dijual-rumah-sukolilo-dian-regency-2-keputih-surabaya-timur-hos42208757/,rumah123,Surabaya Timur
Mewah Rumah Araya New Classic Modern Surabaya,5100000000,186.0,350.0,4,4,2,1.0,Unfurnished,1,0,"Sukolilo, Surabaya",-7.28813,112.8029,https://www.rumah123.com/properti/surabaya-sukolilo/mewah-rumah-araya-new-classic-modern-surabaya-hos42222678/,rumah123,Surabaya Timur
Rumah Puri Galaxy Minimalis Siap Huni,5650000000,300.0,307.0,4,3,2,,Unfurnished,0,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/rumah-puri-galaxy-minimalis-siap-huni-hos42399584/,rumah123,Surabaya Timur
Rumah Wisma Permai Strategis Murah,1800000000,162.0,250.0,3,3,2,,Unfurnished,0,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/rumah-wisma-permai-strategis-murah-hos42399591/,rumah123,Surabaya Timur
"Rumah Kertajaya Indah Minimalis, Strategis, Siap Huni",4500000000,300.0,240.0,4,3,2,,Unfurnished,0,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/rumah-kertajaya-indah-minimalis-strategis-siap-huni-hos42399617/,rumah123,Surabaya Timur
"Rumah Kertajaya Indah Minimalis, Strategis, Siap Huni",4500000000,300.0,240.0,4,3,2,,Unfurnished,0,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/rumah-kertajaya-indah-minimalis-strategis-siap-huni-hos42399410/,rumah123,Surabaya Timur
Dijual Rumah 2 Lantai Perumahan Araya Surabaya Timur,13000000000,490.0,600.0,5,5,2,4.0,Semi Furnished,1,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/dijual-rumah-2-lantai-perumahan-araya-surabaya-timur-hos41988365/,rumah123,Surabaya Timur
"Dijual Rumah 2 Lantai Perumahan Puri Galaxy, Surabaya Timur",6900000000,360.0,400.0,5,4,2,2.0,Unfurnished,1,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/dijual-rumah-2-lantai-perumahan-puri-galaxy-surabaya-timur-hos41965217/,rumah123,Surabaya Timur
Rumah Keputih Permai Sukolilo Surabaya Timur Murah. Ron.a1199,1300000000,66.0,100.0,4,2,2,2.0,Furnished,0,1,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/rumah-keputih-permai-sukolilo-surabaya-timur-murah-rona1199-hos41609383/,rumah123,Surabaya Timur
Rumah Keputih Permai Surabaya Murah. Ron.a1199,1300000000,66.0,100.0,4,2,2,2.0,Furnished,0,0,"Sukolilo, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-sukolilo/rumah-keputih-permai-surabaya-murah-rona1199-hos41541444/,rumah123,Surabaya Timur
Dijual Rumah Daerah Wisma Mukti Surabaya Timur,8500000000,555.0,500.0,6,3,2,1.0,Unfurnished,1,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/dijual-rumah-daerah-wisma-mukti-surabaya-timur-hos42163975/,rumah123,Surabaya Timur
"Dijual Rumah 2 Lantai Raya Manyar Jaya, Surabaya Timur",6500000000,450.0,300.0,6,5,2,1.0,Unfurnished,1,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/dijual-rumah-2-lantai-raya-manyar-jaya-surabaya-timur-hos42195398/,rumah123,Surabaya Timur
Perumahan Wisma Mukti,3700000000,135.0,210.0,4,2,2,2.0,Semi Furnished,0,0,"Sukolilo, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-sukolilo/perumahan-wisma-mukti-hos40935408/,rumah123,Surabaya Timur
2072. Dijual Rumah Siap Huni Manyar Tirtomoyo Sukolilo Surabaya,4300000000,269.0,200.0,3,2,1,1.0,Semi Furnished,1,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/2072-dijual-rumah-siap-huni-semi-furnish-raya-manyar-tirtomoyo-sukolilo-hos41616295/,rumah123,Surabaya Timur
"Dijual Rumah Hook American Classic Baru Gress, Manyar Tirtoyoso",2850000000,120.0,160.0,4,3,2,2.0,Unfurnished,1,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/dijual-rumah-hook-american-classic-baru-gress-manyar-tirtoyoso-hos42275943/,rumah123,Surabaya Timur
"Turun Harga ❗❗Dijual Cepat Rumah Tipe Modern, 2 Lantai, Manyar Rejo, Siap Huni",4600000000,336.0,500.0,5,3,2,2.0,Unfurnished,1,0,"Sukolilo, Surabaya",-7.28813,112.802902,https://www.rumah123.com/properti/surabaya-sukolilo/turun-harga-dijual-cepat-rumah-tipe-modern-2-lantai-manyar-rejo-siap-huni-hos42217290/,rumah123,Surabaya Timur
"Rumah Elit di Perumahan Galaxy Bumi Permai Araya 2, Surabaya",1950000000,67.0,100.0,3,3,2,1.0,Unfurnished,1,1,"Sukolilo, Surabaya",-7.302905,112.783052,https://www.rumah123.com/properti/surabaya-sukolilo/rumah-elit-di-perumahan-galaxy-bumi-permai-araya-2-surabaya-hos41209448/,rumah123,Surabaya Timur
Perumahan Citra Graha Mandiri ~ Asem Rowo Sby Barat,625000000,84.0,84.0,3.0,1.0,1,,Unfurnished,0,0,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/perumahan-citra-graha-mandiri-asem-rowo-sby-barat-hos42317466/,rumah123,Surabaya Barat
"Murah Gudang 1,25 Hektar Hitung Tanah Saja di O Jalan Raya Tambak Langon",65260000000,12550.0,12550.0,,,1,,Unfurnished,0,0,"Asemrowo, Surabaya",-7.24736,112.70776,https://www.rumah123.com/properti/surabaya-asemrowo/murah-gudang-125-hektar-hitung-tanah-saja-di-o-jalan-raya-tambak-langon-hos42132514/,rumah123,Surabaya Barat
"Rumah Full Renov Jual Murah Asem Rowo Surabaya Dekat Perak, Margomulyo",625000000,84.0,65.0,3.0,2.0,1,1.0,Unfurnished,0,0,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/rumah-full-renov-jual-murah-asem-rowo-surabaya-dekat-perak-margomulyo-hos42317042/,rumah123,Surabaya Barat
Rumah 1Lantai Citra Graha Mandiri Asemrowo Murah,590000000,84.0,60.0,3.0,2.0,1,1.0,Unfurnished,0,0,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/rumah-1lantai-citra-graha-mandiri-asemrowo-murah-hos42409471/,rumah123,Surabaya Barat
"Rumah Asemrowo Dekat Margomulyo, Sukomanunggal",590000000,84.0,84.0,3.0,1.0,1,1.0,Unfurnished,0,0,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/rumah-asemrowo-dekat-margomulyo-sukomanunggal-hos42403075/,rumah123,Surabaya Barat
"*Jual Cepat‼️Perumahan Citra Graha Mandiri, Asem Rowo, Surabaya Barat*",590000000,84.0,84.0,1.0,3.0,1,1.0,Unfurnished,0,0,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/jual-cepatperumahan-citra-graha-mandiri-asem-rowo-surabaya-barat-hos42403032/,rumah123,Surabaya Barat
Flash Sale!! Dekat Margomulyo & Tanjung Perak! Rumah 3 KT 7×12 Renov Baru - Asemrowo,590000000,84.0,60.0,3.0,1.0,1,1.0,Unfurnished,1,0,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/dekat-margomulyo-tanjung-perak-rumah-3-kt-712-renov-baru-asemrowo-rp625-juta-hos42353000/,rumah123,Surabaya Barat
"Jual Murah Rumah Perumahan Citra Graha Mandiri ~ Asem Rowo, Surabaya Barat",590000000,84.0,60.0,3.0,1.0,1,,Unfurnished,0,1,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/jual-murah-rumah-perumahan-citra-graha-mandiri-asem-rowo-surabaya-barat-hos42396640/,rumah123,Surabaya Barat
Rumah Murah Citra Graha Mandiri Asemrowo Tandes Surabaya Barat,590000000,84.0,60.0,3.0,1.0,1,1.0,Unfurnished,1,1,"Asemrowo, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-asemrowo/rumah-murah-citra-graha-mandiri-asemrowo-surabaya-barat-hos42317336/,rumah123,Surabaya Barat
"Citra Graha Mandiri, Turun Harga, Full Renov, Asemrowo, Surabaya Barat",625000000,84.0,84.0,3.0,1.0,1,1.0,Unfurnished,0,0,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/citra-graha-mandiri-turun-harga-full-renov-asemrowo-surabaya-barat-hos42316555/,rumah123,Surabaya Barat
Dijual Cepat Rumah Minimalis Modern Grand Pakuwon Dekat Tol SHM,2400000000,144.0,160.0,3.0,3.0,2,2.0,Unfurnished,1,1,"Asemrowo, Surabaya",-7.2348842,112.6703892,https://www.rumah123.com/properti/surabaya-asemrowo/dijual-cepat-rumah-minimalis-modern-grand-pakuwon-dekat-tol-shm-hos42145231/,rumah123,Surabaya Barat
Dijual Cepat Rumah Baru Gress 2 Lantai Jalan Asem,3000000000,173.0,243.0,5.0,5.0,2,,Unfurnished,0,1,"Asemrowo, Surabaya",-7.249687,112.7127946,https://www.rumah123.com/properti/surabaya-asemrowo/dijual-cepat-rumah-baru-gress-2-lantai-jalan-asem-hos41817839/,rumah123,Surabaya Barat
Lelang Hunian Nyaman di Surabaya,621000000,48.0,61.0,2.0,1.0,1,1.0,Unfurnished,0,0,"Asemrowo, Surabaya",-7.239257510160499,112.67108284501603,https://www.rumah123.com/properti/surabaya-asemrowo/lelang-hunian-nyaman-di-surabaya-hos41352776/,rumah123,Surabaya Barat
Rumah 2 lantai Dijual di Jl Asem Raya Mulya Surabaya,3500000000,177.0,354.0,4.0,3.0,2,,Unfurnished,0,1,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/rumah-2-lantai-dijual-di-jl-asem-raya-mulya-surabaya-hos39294998/,rumah123,Surabaya Barat
Dijual Rumah Dijalan Masjid Asemrowo Surabaya,3900000000,345.0,345.0,4.0,2.0,1,,Unfurnished,0,0,"Asemrowo, Surabaya",-7.2492874,112.7134166,https://www.rumah123.com/properti/surabaya-asemrowo/dijual-rumah-dijalan-masjid-asemrowo-surabaya-hos19178324/,rumah123,Surabaya Barat
Rumah Baru SHM Hanya Rp900 Juta di Citraland Surabaya Barat!,900000000,90.0,80.0,3.0,2.0,1,1.0,Unfurnished,1,1,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/rumah-baru-shm-hanya-rp900-juta-di-citraland-surabaya-barat-hos42096455/,rumah123,Surabaya Barat
Rumah Hook Siap Huni Asem Rowo Surabaya Barat,2800000000,469.0,168.0,3.0,2.0,1,1.0,Unfurnished,1,0,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/rumah-hook-siap-huni-asem-rowo-surabaya-barat-hos38911212/,rumah123,Surabaya Barat
Rumah Disewakan Somerset Citraland With Pool,13750000000,375.0,800.0,4.0,5.0,3,,Unfurnished,0,0,"Asemrowo, Surabaya",-7.24736,-7.24736,https://www.rumah123.com/properti/surabaya-asemrowo/rumah-disewakan-somerset-citraland-with-pool-hos41575857/,rumah123,Surabaya Barat
(2904) Jual Dibawah Harga Rumah Luas Dekat Apartemen Gunawangsa Surabaya,763000000,225.0,225.0,,,1,,Unfurnished,0,0,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/2904-jual-dibawah-harga-rumah-luas-dekat-apartemen-gunawangsa-surabaya-hos41396508/,rumah123,Surabaya Barat
Rumah Dijual Asemrowo,3250000000,386.0,100.0,4.0,2.0,1,,Unfurnished,0,0,"Asemrowo, Surabaya",-7.24736,112.707764,https://www.rumah123.com/properti/surabaya-asemrowo/rumah-dijual-asemrowo-hos41443051/,rumah123,Surabaya Barat
Rumah Baru Gress Modern Semampir 30 Detik ke Merr,930000000,97.0,70.0,3,2,1,2.0,Unfurnished,0,0,"Semampir, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-semampir/rumah-mewah-cluster-semampir30-detik-merr-hos41734054/,rumah123,Surabaya Utara
"Rumah Baru On Progress Semampir Surabaya Dekat Merr, Untag, Unitomo",940000000,97.0,85.0,3,2,1,1.0,Unfurnished,0,0,"Semampir, Surabaya",-7.2149,112.748787,https://www.rumah123.com/properti/surabaya-semampir/rumah-baru-on-progress-semampir-surabaya-dekat-merr-untag-unitomo-hos42224414/,rumah123,Surabaya Utara
Rumah Semampir Tengah Dekat Raya Merr,2190000000,200.0,150.0,3,1,1,2.0,Unfurnished,1,1,"Semampir, Surabaya",-7.2149,112.748787,https://www.rumah123.com/properti/surabaya-semampir/rumah-semampir-tengah-dekat-raya-merr-hos41798075/,rumah123,Surabaya Utara
Rumah Sudah Renov Sidotopo Wetan Siap.huni,2100000000,300.0,250.0,6,3,2,2.0,Unfurnished,0,0,"Semampir, Surabaya",-7.2149,112.748787,https://www.rumah123.com/properti/surabaya-semampir/rumah-sudah-renov-sidotopo-wetan-siaphuni-hos42402775/,rumah123,Surabaya Utara
"Dijual Via Lelang Tgl 28 Sept 26 Rumah 1,5Lt di Bulak Rukem Semampir Surabaya",350000000,147.0,200.0,3,1,1,1.0,Unfurnished,0,0,"Semampir, Surabaya",-7.2149,112.748787,https://www.rumah123.com/properti/surabaya-semampir/dijual-via-lelang-tgl-28-sept-26-rumah-15lt-di-bulak-rukem-semampir-surabaya-hos42318313/,rumah123,Surabaya Utara
Dijual Rumah Central Park Juanda Posisi Pojok Bagus Hdp Selatan,2300000000,135.0,120.0,3,2,2,2.0,Unfurnished,1,1,"Semampir, Surabaya",-7.367681219178706,112.77530227083435,https://www.rumah123.com/properti/surabaya-semampir/dijual-rumah-central-park-juanda-posisi-pojok-bagus-hdp-selatan-hos41960139/,rumah123,Surabaya Utara
Dijual Rumah Semampir Tengah Sukolilo Surabaya Ron.a1948,1600000000,100.0,175.0,4,3,3,1.0,Unfurnished,0,0,"Semampir, Surabaya",-7.2149,112.748787,https://www.rumah123.com/properti/surabaya-semampir/dijual-rumah-semampir-tengah-sukolilo-surabaya-rona1948-hos42273991/,rumah123,Surabaya Utara
Rumah 2 Lantai Bebas Banjir di Semampir Tengah Surabaya,1300000000,60.0,60.0,2,2,2,,Unfurnished,0,0,"Semampir, Surabaya",-7.2149,112.748787,https://www.rumah123.com/properti/surabaya-semampir/rumah-2-lantai-bebas-banjir-di-semampir-tengah-surabaya-hos42273005/,rumah123,Surabaya Utara
Banting Harga Butuh Laku Poll Rumah Semampir Surabaya Timur,1150000000,100.0,175.0,4,3,2,1.0,Unfurnished,0,0,"Semampir, Surabaya",-7.30722329,112.78138936666666,https://www.rumah123.com/properti/surabaya-semampir/banting-harga-butuh-laku-poll-rumah-semampir-surabaya-timur-hos42191998/,rumah123,Surabaya Utara
"Murah, Semampir Minimalis Siap Huni, Hanya 5 Menit ke Merr",1140000000,100.0,175.0,4,3,2,,Unfurnished,0,0,"Semampir, Surabaya",-7.2149,112.74879,https://www.rumah123.com/properti/surabaya-semampir/murah-semampir-minimalis-siap-huni-hanya-5-menit-ke-merr-hos42052290/,rumah123,Surabaya Utara
"Rumah Kost Semampir Eks Penginapan, Murah, Harga di Bawah Appraisal",3600000000,400.0,900.0,42,30,2,,Unfurnished,0,0,"Semampir, Surabaya",-7.2149,112.74879,https://www.rumah123.com/properti/surabaya-semampir/rumah-kost-semampir-eks-penginapan-murah-harga-di-bawah-appraisal-hos42002492/,rumah123,Surabaya Utara
Rumah Siap Huni Semampir Surabaya Timur - Dekat Raya Merr,2390000000,200.0,150.0,3,1,1,2.0,Unfurnished,1,0,"Semampir, Surabaya",-7.3073763,112.79466,https://www.rumah123.com/properti/surabaya-semampir/rumah-siap-huni-semampir-surabaya-timur-dekat-raya-merr-hos41803373/,rumah123,Surabaya Utara
Rumah Murah Siap Tinggal Griyo Semampir Surabaya Timur,875000000,96.0,80.0,3,1,1,,Unfurnished,1,0,"Semampir, Surabaya",-7.2149,112.74879,https://www.rumah123.com/properti/surabaya-semampir/rumah-murah-siap-tinggal-griyo-semampir-surabaya-timur-hos41686822/,rumah123,Surabaya Utara
Dijual Murah Rumah Puri Galaxy Surabaya,8000000000,450.0,400.0,4,3,2,1.0,Unfurnished,1,0,"Semampir, Surabaya",-7.2149,-7.2149,https://www.rumah123.com/properti/surabaya-semampir/dijual-murah-rumah-puri-galaxy-surabaya-hos40547728/,rumah123,Surabaya Utara
Jual Rumah Murah di Semampir Barat Sukolilo Surabaya,1200000000,120.0,120.0,4,2,1,,Unfurnished,0,0,"Semampir, Surabaya",-7.2149,112.748787,https://www.rumah123.com/properti/surabaya-semampir/jual-rumah-murah-di-semampir-barat-sukolilo-surabaya-hos41320509/,rumah123,Surabaya Utara
Rumah di Semampir Praja. Dekat MERR. Siap Huni,750000000,100.0,98.0,3,2,1,,Semi Furnished,1,0,"Semampir, Surabaya",-7.2149,112.748787,https://www.rumah123.com/properti/surabaya-semampir/rumah-di-semampir-praja-dekat-merr-siap-huni-hos40232781/,rumah123,Surabaya Utara
Rumah Semampir Tengah Bagus Dan Terawat,1990000000,200.0,150.0,5,3,2,1.0,Semi Furnished,0,0,"Semampir, Surabaya",-7.2149,112.748787,https://www.rumah123.com/properti/surabaya-semampir/rumah-semampir-tengah-bagus-dan-terawat-hos40309088/,rumah123,Surabaya Utara
"Dijual Cepat Rumah Siap Huni Semampir Tengah Dekat Akses Merr, Dekat Kampus Ubaya, Its, Unair",1990000000,200.0,150.0,4,2,2,1.0,Semi Furnished,0,0,"Semampir, Surabaya",-7.2149,112.748787,https://www.rumah123.com/properti/surabaya-semampir/dijual-cepat-rumah-siap-huni-semampir-tengah-dekat-akses-merr-dekat-kampus-ubaya-its-unair-hos39723563/,rumah123,Surabaya Utara
DIJUAL CEEEPAT RUMAH HOMESTAY RAYA PEGIRIAN,8990000000,242.0,259.0,21,21,3,4.0,Furnished,1,0,"Semampir, Surabaya",-7.2149,112.74879,https://www.rumah123.com/properti/surabaya-semampir/dijual-ceeepat-rumah-homestay-raya-pegirian-hos15430792/,rumah123,Surabaya Utara
"Semampir Minimalis Bagus, Hanya 5 mnt dr Raya Merr!",1350000000,100.0,200.0,4,3,1,,Unfurnished,0,0,"Semampir, Surabaya",-7.2149,-7.2149,https://www.rumah123.com/properti/surabaya-semampir/semampir-minimalis-bagus-hanya-5-mnt-dr-raya-merr-hos19299324/,rumah123,Surabaya Utara
Dijual Rumah Baru Wisata Bukit Mas 2 Lantai,2910000000,96.0,122.0,5,3,2.0,2.0,Unfurnished,0,0,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-baru-wisata-bukit-mas-2-lantai-hos41713126/,rumah123,Surabaya Selatan
Rumah Wiyung Dekat Graha Famili Citraland Pakuwon Indah,1800000000,135.0,170.0,3,3,2.0,2.0,Furnished,0,0,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/rumah-wiyung-dekat-graha-famili-citraland-pakuwon-indah-hos39300341/,rumah123,Surabaya Selatan
Rumah Lokasi Strategis Royal Residence Luar Cluster - Turun Harga,5000000000,240.0,300.0,4,3,2.0,2.0,Unfurnished,1,0,"Wiyung, Surabaya",-7.31097,112.69807,https://www.rumah123.com/properti/surabaya-wiyung/rumah-royal-residence-american-style-luar-cluster-hos40902702/,rumah123,Surabaya Selatan
"Dijual Rumah Siap Huni,Baru Renovasi,Cluster Depan Grand Harvest",1700000000,102.0,67.0,2,2,2.0,2.0,Unfurnished,1,1,"Wiyung, Surabaya",-7.327923,112.692586,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-siap-hunibaru-renovasicluster-depan-grand-harvest-hos41222135/,rumah123,Surabaya Selatan
Rumah Darmo Sentosa Raya Baru Renov Turun Harga Nego Sampe Deal,2590000000,199.0,210.0,3,2,1.0,1.0,Unfurnished,1,0,"Wiyung, Surabaya",-7.31097,112.69807,https://www.rumah123.com/properti/surabaya-wiyung/rumah-darmo-sentosa-raya-baru-renov-turun-harga-nego-sampe-deal-hos40101129/,rumah123,Surabaya Selatan
Rumah Mungil Grand Village Royal Residence - Free Canopy,599000000,41.0,65.0,2,1,2.0,1.0,Unfurnished,1,0,"Wiyung, Surabaya",-7.31097,112.69807,https://www.rumah123.com/properti/surabaya-wiyung/rumah-mungil-grand-village-royal-residence-free-canopy-hos41273992/,rumah123,Surabaya Selatan
Rumah Graha Green Garden- New & Minimalis - Siap Huni - AC 3 Units - Kanopi - Sanyo - Tandon Atas,2150000000,150.0,120.0,3,3,2.0,,Unfurnished,1,1,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/rumah-graha-green-garden-new-minimalis-siap-huni-ac-3-units-kanopi-sanyo-tandon-atas-hos42276795/,rumah123,Surabaya Selatan
"Dijual Rumah di Taman Pondok Indah Wiyung, Surabaya Barat Dekat Tol Gunungsari, dan Supermall Pakuwon",1400000000,96.0,105.0,3,2,,,Unfurnished,0,1,"Wiyung, Surabaya",-7.31097,-7.31097,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-di-taman-pondok-indah-wiyung-surabaya-barat-dekat-tol-gunungsari-dan-supermall-pakuwon-hos42273100/,rumah123,Surabaya Selatan
Rumah Tinggal Taman Pondok Indah Surabaya,1770000000,250.0,174.0,1,1,1.0,,Unfurnished,0,1,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/rumah-tinggal-taman-pondok-indah-surabaya-hos39033324/,rumah123,Surabaya Selatan
Dijual Rumah Lokasi Strategis Diwiyung Surabaya Barat,975000000,135.0,100.0,3,3,1.0,2.0,Unfurnished,0,0,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-lokasi-strategis-diwiyung-surabaya-barat-hos42434855/,rumah123,Surabaya Selatan
Dijual Via Lelang Rumah Modern Kebraon Wiyung,150000000,60.0,120.0,3,1,2.0,1.0,Unfurnished,0,0,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/dijual-via-lelang-rumah-modern-kebraon-wiyung-hos42372539/,rumah123,Surabaya Selatan
Dijual Rumah Murah Strategis di Dian Istana The White House,1950000000,85.0,130.0,3,3,2.0,,Unfurnished,0,0,"Wiyung, Surabaya",-7.304401987265948,112.6942053812486,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-murah-di-dian-istana-the-white-house-thumbsup-hos41884153/,rumah123,Surabaya Selatan
Dijual Rumah Baru Murah 2 LT Wiyung Surabaya Mepet Graha Famili,3000000000,126.0,158.0,3,3,2.0,2.0,Unfurnished,1,1,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-baru-murah-2-lt-wiyung-surabaya-mepet-graha-famili-hos42336326/,rumah123,Surabaya Selatan
Dijual Rumah Mepet Graha Famili Surabaya Free Kanopi & 3 Ac Murah,2600000000,105.0,140.0,3,3,2.0,2.0,Unfurnished,1,1,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-mepet-graha-famili-surabaya-free-kanopi-3-ac-murah-hos42336672/,rumah123,Surabaya Selatan
Dijual Rumah Graha Family Golf View Lengkap dengan Pool,43500000000,900.0,850.0,5,5,2.0,2.0,Semi Furnished,1,1,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-graha-family-golf-view-lengkap-dengan-pool-hos39504676/,rumah123,Surabaya Selatan
Rumah Grand Harvest Wiyung Surabaya Barat Timur Murah. Ric.a300,1200000000,102.0,100.0,2,1,1.0,2.0,Unfurnished,0,1,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/rumah-grand-harvest-wiyung-surabaya-barat-timur-murah-rica300-hos41561072/,rumah123,Surabaya Selatan
Rumah Royal Residence Surabaya Murah. Edd.a012,3500000000,175.0,250.0,4,3,2.0,,Unfurnished,0,0,"Wiyung, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-wiyung/rumah-royal-residence-surabaya-murah-edda012-hos41454444/,rumah123,Surabaya Selatan
Rumah Modern Wiyung Surabaya SHM Split Lokasi Setrategis,670000000,94.0,36.0,2,1,1.0,1.0,Unfurnished,1,1,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/rumah-modern-wiyung-surabaya-shm-split-lokasi-setrategis-hos41331378/,rumah123,Surabaya Selatan
*dijual Rumah Hook 1 Lantai Taman Pondok Indah Wiyung*,2200000000,243.0,140.0,4,2,1.0,2.0,Unfurnished,0,1,"Wiyung, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-hook-1-lantai-taman-pondok-indah-wiyung-hos39890090/,rumah123,Surabaya Selatan
Rumah Royal Residence Termurah di Kelasnya Siap Huni,4800000000,240.0,285.0,5,3,2.0,,Unfurnished,1,0,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/rumah-royal-residence-termurah-di-kelasnya-siap-huni-hos42287498/,rumah123,Surabaya Selatan
"Dijual Rumah Daerah Pengampon, Surabaya",16000000000,610.0,625.0,3.0,2.0,1,1.0,Unfurnished,1,0,"Genteng, Surabaya",-7.26125,112.742767,https://www.rumah123.com/properti/surabaya-genteng/dijual-rumah-daerah-pengampon-surabaya-hos42164066/,rumah123,Surabaya Pusat
