judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data
Nginden Intan Timur 2 Lt Dekat Bethany Nginden (blkg Herritage Hotel),1950000000,136.0,200.0,4,2,2,1.0,Unfurnished,0,0,"Pakuwon City, Surabaya",-7.28917,112.67556,https://www.rumah123.com/properti/surabaya-pakuwon-city/nginden-intan-timur-2-lt-dekat-bethany-nginden-blkg-herritage-hotel-hos17972816/,rumah123
Dijual Rumah Citraland Utama 3Lt 6Kt Modern Minimalis Baru Gress Dekat Pasar Modern,7250000000,210.0,410.0,6,5,3,2.0,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,-7.309354,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-citraland-utama-3lt-6kt-modern-baru-dekat-pasar-modern-hos42268462/,rumah123
Dijual Rumah Taman Puspa Raya Citraland 4Kt 2Lt Semi Furnish,3700000000,210.0,360.0,4,5,2,2.0,Semi Furnished,1,1,"Citraland, Surabaya",-7.309354,-7.309354,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-taman-puspa-raya-citraland-4kt-2lt-semi-furnish-hos42255443/,rumah123
Dijual Rumah Woodland Citraland Minimalis 3Lt Hook Dekat Pasar Modern,6400000000,230.0,360.0,5,6,3,1.0,Unfurnished,1,0,"Citraland, Surabaya",-7.309354,-7.309354,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-citraland-baru-minimalis-3lt-hook-dekat-pasar-modern-hos41669940/,rumah123
Dijual Rumah Graha Famili Semi Furnish 3Kt Siap Huni Dekat Tol Pakuwon,7000000000,322.0,300.0,3,3,2,1.0,Unfurnished,1,0,"Graha, Surabaya",-7.257472,-7.257472,https://www.rumah123.com/properti/surabaya-graha/dijual-rumah-graha-famili-semi-furnish-3kt-siap-huni-dekat-tol-pakuwon-hos41178531/,rumah123
Dijual Rumah Waterfront Citraland 2Lt 5Kt Modern Minimalis,6500000000,240.0,384.0,5,3,2,2.0,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,-7.309354,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-waterfront-citraland-2lt-5kt-modern-minimalis-dekat-uc-hos42339454/,rumah123
Dijual Rumah Baru The Mansion Pakuwon Indah 3.5Lt 4Kt American Modern,7500000000,180.0,450.0,4,5,3,1.0,Unfurnished,1,0,"Pakuwon Indah, Surabaya",-7.28921,-7.28921,https://www.rumah123.com/properti/surabaya-pakuwon-indah/dijual-rumah-baru-the-mansion-pakuwon-indah-35lt-4kt-american-modern-hos41519558/,rumah123
Dijual Rumah Darmo Permai Selatan 1 Lantai Dekat Pakuwon Mall,2300000000,200.0,140.0,2,1,1,1.0,Unfurnished,1,0,"Darmo permai, Surabaya",-7.285674,-7.285674,https://www.rumah123.com/properti/surabaya-darmo-permai/dijual-rumah-darmo-permai-selatan-1-lantai-dekat-pakuwon-mall-hos40664141/,rumah123
Dijual Rumah Royal Residence Addington Furnish 3Kt 2 Lantai Wiyung,2800000000,144.0,144.0,3,3,2,1.0,Unfurnished,1,0,"Wiyung, Surabaya",-7.31097,-7.31097,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-royal-residence-addington-furnish-3kt-2-lantai-wiyung-hos40019629/,rumah123
Dijual Rumah Woodland Citraland 4Kt Dekat Pasar Modern Sekolah Ciputra,4200000000,153.0,268.0,4,5,2,1.0,Unfurnished,1,0,"Citraland, Surabaya",-7.309354,-7.309354,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-woodland-citraland-4kt-dekat-pasar-modern-sekolah-ciputra-hos40036176/,rumah123
Rumah Gress Tahap 2 Taman Jivva Kebraon Surabaya Dekat Tol Gunungsari,700000000,50.0,36.0,2,1,1,1.0,Unfurnished,0,1,"Kebraon, Surabaya",-7.3305,112.704071,https://www.rumah123.com/properti/surabaya-kebraon/rumah-gress-tahap-2-taman-jivva-kebraon-surabaya-dekat-tol-gunungsari-hos42375839/,rumah123
Gading Mutiara Permai. Mepet Benowo Sby Siap Huni Ekonomis,550000000,84.0,63.0,2,2,1,1.0,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.63014,https://www.rumah123.com/properti/surabaya-benowo/gading-mutiara-permai-mepet-benowo-sby-siap-huni-ekonomis-hos19267049/,rumah123
Termurah Premium Rumah Minimalis 2 Lt Pool Golf View Graha Family,42000000000,900.0,850.0,4,7,2,2.0,Semi Furnished,1,1,"Graha, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-graha/termurah-premium-rumah-minimalis-2-lt-pool-golf-view-graha-family-hos18084171/,rumah123
Rumah Gress American Minimalis 3 LT Pool Marmer Graha Family Pakuwon,13500000000,375.0,530.0,5,5,2,2.0,Unfurnished,0,0,"Graha, Surabaya",-7.303161691419589,112.68216949605642,https://www.rumah123.com/properti/surabaya-graha/rumah-gress-american-minimalis-3-lt-pool-marmer-graha-family-pakuwon-hos39683948/,rumah123
