judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data
Jual Rumah Citraland Buona Vista 2 Lantai Siap Huni Bagus One Gate System,3600000000,150.0,193.0,4,3,2,2,Semi Furnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/jual-rumah-citraland-2-lantai-siap-huni-bagus-one-gate-system-hos41847397/,rumah123
Dijual Rumah 2 Lantai Modern Minimalis Bukit Palma Citraland,2000000000,120.0,170.0,4,4,2,1,Unfurnished,1,1,"Citraland, Surabaya",-7.25496941633574,112.62656209285616,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-2-lantai-modern-minimalis-bukit-palma-citraland-hos40883763/,rumah123
Dijual Rumah Mewah Wisata Bukit Mas Strategis 5 KT,3200000000,112.0,128.0,5,3,2,2,,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-wisata-bukit-mas-strategis-5-kt-hos41712413/,rumah123
Dijual Rumah Siap Huni di Taman Puspa Raya Citraland Surabaya,2900000000,128.0,200.0,4,3,2,1,Semi Furnished,1,1,"Citraland, Surabaya",-7.2767258,112.6456814,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-siap-huni-di-taman-puspa-raya-citraland-surabaya-hos40347489/,rumah123
Dijual Rumah 2 Lantai Citraland Nortwest Lake Cluster Depan,975000000,70.0,70.0,2,2,2,1,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-2-lantai-citraland-nortwest-lake-cluster-depan-hos42045828/,rumah123
Dijual Harga Promo Rumah 2 Lantai Gress Raya Boulevard Citraland,2700000000,126.0,190.0,3,3,2,2,Unfurnished,1,1,"Citraland, Surabaya",-7.2889105,112.64498,https://www.rumah123.com/properti/surabaya-citraland/dijual-harga-promo-rumah-2-lantai-gress-raya-boulevard-citraland-hos19354923/,rumah123
Di Jual Rumah Minimalis Cluster Cristal Golf Citraland Surabaya,8600000000,280.0,475.0,3,3,2,1,Furnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/di-jual-rumah-minimalis-cluster-cristal-golf-citraland-surabaya-hos42249262/,rumah123
Dijual Rumah Mewah Raya Golf Citraland Surabaya,27500000000,1117.0,900.0,6,4,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-raya-golf-citraland-surabaya-hos42060277/,rumah123
Dijual Rumah Mewah Bgi Citraland Surabaya,9250000000,300.0,500.0,5,6,2,2,Unfurnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-bgi-citraland-surabaya-hos42060476/,rumah123
Rumah Mewah Rasa Villa di Bukit Golf Mediterania Citraland Utama,9480000000,300.0,600.0,5,5,3,2,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-mewah-rasa-villa-di-bukit-golf-mediterania-citraland-utama-hos39566506/,rumah123
Rumah Citraland Minamilis Dekat Graha Family Pakuwon Indah Wiyung,9200000000,300.0,500.0,5,4,3,2,Unfurnished,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-citraland-minamilis-dekat-graha-family-pakuwon-indah-wiyung-hos42099034/,rumah123
Dijual Rumah Baru Wisata Bukit Mas 2 Lantai,2910000000,96.0,122.0,5,3,2,2,,0,0,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-baru-wisata-bukit-mas-2-lantai-hos41713126/,rumah123
Rumah Mewah Surabaya Barat di Wisata Bukit Mas LT 96 LB 122 Full Strategis,2910000000,96.0,122.0,5,3,2,2,,0,0,"Wisata Bukit Mas, Surabaya",-7.308962,112.667053,https://www.rumah123.com/properti/surabaya-wisata-bukit-mas/rumah-mewah-surabaya-barat-di-wisata-bukit-mas-lt-96-lb-122-full-strategis-hos41713265/,rumah123
For Sale Luxury House In Wisata Bukit Mas 2 Floor 5 BR,3200000000,105.0,123.0,5,3,2,2,Unfurnished,0,0,"Wisata Bukit Mas, Surabaya",-7.308962,112.667053,https://www.rumah123.com/properti/surabaya-wisata-bukit-mas/for-sale-luxury-house-in-wisata-bukit-mas-2-floor-5-br-hos41712495/,rumah123
Dijual Rumah Elite Strategis Dekat Universitas Negeri Surabaya,3200000000,112.0,128.0,5,3,2,2,,0,0,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-rumah-elite-strategis-dekat-universitas-negeri-surabaya-hos41713030/,rumah123
Dijual Rumah 2 Lantai Wisata Bukit Mas Dekat Unesa dan National Hospital,2910000000,96.0,122.0,5,3,2,2,,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-2-lantai-wisata-bukit-mas-dekat-unesa-dan-national-hospital-hos41713220/,rumah123
Dijual Rumah Cantik Citraland New Minimalis 2 Lantai Woodland Surabaya,4300000000,153.0,240.0,5,4,2,1,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-cantik-citraland-new-minimalis-2-lantai-woodland-wl-20-surabaya-hos42361245/,rumah123
Rumah Premium 2 Lantai Siap Huni Dekat Bandara Juanda,1830000000,130.0,112.0,4,3,2,2,,0,0,"Rungkut, Surabaya",-7.377194,112.707117,https://www.rumah123.com/properti/surabaya-rungkut/hunian-2-lantai-premium-modern-mewah-siap-huni-hos42068211/,rumah123
"Dijual Rumah Mewah Graha Family Surabaya Golf View, Lengkap dengan Pool",43500000000,900.0,850.0,5,5,2,2,Semi Furnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-graha-family-surabaya-golf-view-lengkap-dengan-pool-hos42348129/,rumah123
Rumah Murah Citraland Northwest Dekat Graha Famili Universitas Ciputra Surabaya Barat,900000000,50.0,45.0,2,2,1,1,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-murah-citraland-northwest-dekat-graha-famili-universitas-ciputra-surabaya-barat-hos42332139/,rumah123
Rumah Mewah Murah Komersial Raya Citraland Gwalk Dkt Pakuwon,9500000000,330.0,550.0,4,3,3,2,Semi Furnished,0,1,"Citraland, Surabaya",-7.3095071760373,112.65693144247689,https://www.rumah123.com/properti/surabaya-citraland/rumah-mewah-murah-jalan-raya-citraland-gwalk-dkt-pakuwon-graha-hos40840309/,rumah123
Termurah Rumah Minimalis Gress 2.5 LT Lux Citraland Gwalk Dekat Pakuwon,9250000000,300.0,500.0,5,6,2,2,Unfurnished,0,1,"Citraland, Surabaya",-7.284093,112.656721,https://www.rumah123.com/properti/surabaya-citraland/termurah-rumah-minimalis-gress-25-lt-lux-citraland-gwalk-dekat-pakuwon-hos41989447/,rumah123
Rumah Komersial Murah Minimalis Lux Raya Telaga Utama Citraland,11000000000,480.0,300.0,4,4,2,2,Unfurnished,0,1,"Citraland, Surabaya",-7.2912839897673365,112.64785703250027,https://www.rumah123.com/properti/surabaya-citraland/termurah-rumah-komersial-minimalis-mewah-hitung-tanah-citraland-kembar-raya-telaga-hos41930010/,rumah123
Rumah Baru American Style Citraland Siap Huni,4650000000,162.0,251.0,5,4,3,2,,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-baru-american-style-citraland-siap-huni-hos42361881/,rumah123
Jual Rugi Rumah Oakwood Citraland Adem Hadap Selatan + Bonus,2890000000,120.0,143.0,3,3,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/jual-rugi-rumah-oakwood-citraland-adem-hadap-selatan-bonus-hos41966509/,rumah123
Rumah Baru Gress di Alam Hijau Citraland Dekat Pusat Kuliner,6850000000,210.0,405.0,4,4,3,2,Unfurnished,0,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-baru-gress-di-alam-hijau-citraland-dekat-pusat-kuliner-hos41979299/,rumah123
2 Lantai Minimalis Rumah Greenlake Citraland - Nego Aja,2200000000,120.0,139.0,4,3,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/2-lantai-minimalis-rumah-greenlake-citraland-nego-aja-hos42176520/,rumah123
Rumah Citraland Utama American Modern Style - Semi Furnish,4900000000,162.0,251.0,5,4,2,2,Semi Furnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-citraland-utama-american-modern-style-semi-furnish-hos41931311/,rumah123
Rumah Somerset Citraland Baru Gress Mewah Konsep Villa,9950000000,300.0,600.0,5,5,3,2,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-somerset-citraland-baru-gress-mewah-konsep-villa-hos41931270/,rumah123
Rumah Wisata Bukit Mas Minimalis Harga bisa Nego Tipis,2700000000,180.0,180.0,3,2,2,1,Unfurnished,1,0,"Wiyung, Surabaya",-7.31097,112.69807,https://www.rumah123.com/properti/surabaya-wiyung/rumah-wisata-bukit-mas-minimalis-harga-bisa-nego-tipis-hos41668912/,rumah123
"Rumah Alam Hijau Citraland Dekat Pasar Modern, Radial Road, Pusat Kuliner",3200000000,120.0,195.0,4,4,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-alam-hijau-citraland-dekat-pasar-modern-radial-road-pusat-kuliner-hos41866836/,rumah123
Rumah Queenstown Citraland Baru Gress Selangkah ke Pusat Kuliner Citraland,6650000000,180.0,420.0,4,5,3,2,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-queenstown-citraland-baru-gress-selangkah-ke-pusat-kuliner-citraland-hos41471499/,rumah123
Rumah Citraland Alam Hijau Gress American Style Semi Furnish,3300000000,120.0,137.0,5,3,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-citraland-alam-hijau-gress-american-style-semi-furnish-hos41582392/,rumah123
"Rumah Bukit Golf International Citraland 2,5 Lantai Split Level",9250000000,300.0,500.0,5,6,2,2,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-bukit-golf-international-citraland-25-lantai-split-level-hos42110224/,rumah123
Rumah Royal Residence Luar Cluster - Turun Harga,5000000000,240.0,300.0,4,3,2,2,Unfurnished,1,0,"Wiyung, Surabaya",-7.31097,112.69807,https://www.rumah123.com/properti/surabaya-wiyung/rumah-royal-residence-american-style-luar-cluster-hos40902702/,rumah123
Rumah Fullerton Citraland Full Furnish With Swimming Pool,7990000000,210.0,400.0,4,5,3,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/rumah-fullerton-citraland-full-furnish-with-swimming-pool-hos41668933/,rumah123
Rumah Darmo Sentosa Raya Baru Renov Turun Harga Nego Sampe Deal,2590000000,199.0,210.0,3,2,1,1,Unfurnished,1,0,"Wiyung, Surabaya",-7.31097,112.69807,https://www.rumah123.com/properti/surabaya-wiyung/rumah-darmo-sentosa-raya-baru-renov-turun-harga-nego-sampe-deal-hos40101129/,rumah123
Murah Jual Rugi Rumah Buona Vista Citraland,3250000000,144.0,150.0,3,4,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/murah-jual-rugi-rumah-buona-vista-citraland-hos42328838/,rumah123
Mewah Rumah Araya New Classic Modern Surabaya,5100000000,186.0,350.0,4,4,2,1,Unfurnished,1,0,"Sukolilo, Surabaya",-7.28813,112.8029,https://www.rumah123.com/properti/surabaya-sukolilo/mewah-rumah-araya-new-classic-modern-surabaya-hos42222678/,rumah123
Full Furnish Rumah International Village Row Jalan 4 Mobil,3700000000,210.0,300.0,3,3,2,1,Unfurnished,1,0,"Citraland, Surabaya",-7.3093542,112.6565456,https://www.rumah123.com/properti/surabaya-citraland/full-furnish-rumah-international-village-row-jalan-4-mobil-hos42335368/,rumah123
"Dijual Rumah Cluster Taman Golf, Perumahan Citraland, Surabaya Barat",15000000000,375.0,700.0,6.0,5,2,2.0,Semi Furnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-cluster-taman-golf-perumahan-citraland-surabaya-barat-hos42201082/,rumah123
Dijual Rumah Mewah Raya Golf Citraland Surabaya,27500000000,1117.0,900.0,6.0,4,2,2.0,Unfurnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-raya-golf-citraland-surabaya-hos19495905/,rumah123
Di Jual Rumah Mewah Cristal Golf Citra Land Surabaya,8650000000,280.0,475.0,3.0,5,2,2.0,Furnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/di-jual-rumah-mewah-cristal-golf-citra-land-surabaya-hos42380652/,rumah123
Dijual Cepat Rumah Tengah Kota Manyar Kertoarjo Surabaya,10500000000,510.0,880.0,5.0,4,2,2.0,Unfurnished,1,0,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-cepat-rumah-tengah-kota-manyar-kertoarjo-surabaya-hos42046704/,rumah123
Dijual Rumah Mewah Lokasi Margorejo Indah Surabaya,14500000000,754.0,530.0,6.0,5,2,2.0,Unfurnished,1,1,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-rumah-mewah-lokasi-margorejo-indah-surabaya-hos38857742/,rumah123
Rumah Super Mewah di Raya Jemur Andayani Jemur Wonosari Wonocolo Surabaya,28500000000,1410.0,722.0,4.0,4,2,4.0,Unfurnished,1,1,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/rumah-super-mewah-di-raya-jemur-andayani-jemur-wonosari-wonocolo-surabaya-hos41101910/,rumah123
Dijual Rumah Mewah Raya Golf Citraland Surabaya,27500000000,1117.0,900.0,,6,4,2.0,Unfurnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-raya-golf-citraland-surabaya-hos19495944/,rumah123
Dijual Rumah Mewah Lokasi Graha Family Lengkap Dengan Pool Dan Semi Furnished,43500000000,900.0,850.0,5.0,5,2,1.0,Semi Furnished,1,1,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-rumah-mewah-lokasi-graha-family-lengkap-dengan-pool-dan-semi-furnished-hos39505911/,rumah123
Dijual Rumah Mewah Lokasi Woodland Citraland Surabaya Timur,5700000000,210.0,360.0,4.0,4,2,1.0,Semi Furnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-mewah-lokasi-woodland-citraland-surabaya-timur-hos39445576/,rumah123
Dijual Rumah Baru Renovasi di Citraland Surabaya Full Furnished dan Private Pool,7950000000,300.0,150.0,4.0,3,2,2.0,Furnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-baru-renovasi-di-citraland-surabaya-full-furnished-dan-private-pool-hos42356986/,rumah123
Dijual Rumah Baru Lokasi Bgi Citraland Surabaya,9500000000,300.0,500.0,5.0,6,2,2.0,Unfurnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-baru-lokasi-bgi-citraland-surabaya-hos40483566/,rumah123
Rumah 2 Lantai Bebas Banjir Akses Mudah 10 Menit ke Tol Waru,1400000000,96.0,86.0,2.0,2,2,1.0,,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-2-lantai-bebas-banjir-akses-mudah-10-menit-ke-tol-waru-hos42288966/,rumah123
Dijual Rumah Hook New Minimalis di Citraland,4200000000,179.0,303.0,4.0,3,2,2.0,Unfurnished,1,1,"Citraland, Surabaya",-7.28917,112.734,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-hook-new-minimalis-di-citraland-hos40958029/,rumah123
Dijual Cepat Rumah di Kebraon Lokasi Strategis,1200000000,100.0,57.0,3.0,2,1,,Unfurnished,0,0,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-rumah-on-progress-kebraon-row-jalan-lebar-hos42084622/,rumah123
Dijual Rumah Grand Pakuwon South Victoria Surabaya,2350000000,160.0,200.0,4.0,3,2,1.0,Unfurnished,1,1,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-rumah-grand-pakuwon-south-victoria-surabaya-hos41471671/,rumah123
Dijual Rumah Galaxi Bumi Permai Tahap 1 Surabaya,7000000000,240.0,400.0,4.0,3,2,1.0,Unfurnished,1,1,"Surabaya Kota, Surabaya",-7.290337033155097,112.78615768976653,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-rumah-galaxi-bumi-permai-tahap-1-surabaya-hos41635761/,rumah123
Nego Samoai Deal Rumah Dian Regency 2 Sukolilo Terawat Siap Huni,1380000000,119.0,120.0,5.0,2,1,1.0,Unfurnished,0,0,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-rumah-sukolilo-dian-regency-2-siap-huni-lingkungan-nyaman-hos41283411/,rumah123
Murah Pol! Dijual Rumah Minimalis 2 LT Citraland Utama Sby Barat,4000000000,200.0,260.0,4.0,3,2,2.0,Semi Furnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/murah-pol-dijual-rumah-minimalis-2-lt-citraland-utama-sby-barat-hos42367306/,rumah123
Rumah Amerika Stile 2 Lantai Medayu Minimalis Modern Merr,638000000,40.0,39.0,2.0,1,2,1.0,,0,0,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/rumah-amerika-stile-2-lantai-medayu-minimalis-modern-merr-hos42344378/,rumah123
"Dijual Rumah Bagus 2 Lantai, SHM, Full Renovasi Selesai 2026 Harga Termurah Jauh Dibawah Harga Rentang Pasar.bisa KPR",5600000000,276.0,315.0,4,3,2,4.0,Unfurnished,1,1,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/dijual-rumah-bagus-2-lantai-shm-full-renovasi-selesai-2026-harga-termurah-jauh-dibawah-harga-rentang-pasarbisa-kpr-hos41885633/,rumah123
Dijual Cepat Rumah Tengah Kota Manyar Kertoarjo (Bonnet) Surabaya,10500000000,510.0,880.0,5,4,2,2.0,Unfurnished,1,0,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-cepat-rumah-tengah-kota-manyar-kertoarjo-bonnet-surabaya-hos41990681/,rumah123
Rumah Baru Greenlake Citraland (Siap Huni),2000000000,98.0,90.0,3,3,2,,Unfurnished,0,0,"Citraland, Surabaya",-7.309354,-7.309354,https://www.rumah123.com/properti/surabaya-citraland/rumah-baru-greenlake-citraland-siap-huni-hos42380349/,rumah123
Bukit Golf Rumah Mewah 2Lt Golf View +Pool,55000000000,1975.0,2375.0,9,11,1,3.0,Furnished,0,1,"Lakarsantri, Surabaya",-7.30073,112.63566,https://www.rumah123.com/properti/surabaya-lakarsantri/bukit-golf-rumah-mewah-2lt-golf-view-pool-hos9432362/,rumah123
Murah Banget! Dijual Rumah 2 LT Babatan Pratama Sby Barat,1350000000,120.0,140.0,3,3,2,1.0,Unfurnished,1,1,"Wiyung, Surabaya",-7.31097,112.698067,https://www.rumah123.com/properti/surabaya-wiyung/murah-banget-dijual-rumah-2-lt-babatan-pratama-sby-barat-hos42258260/,rumah123
Rumah 13 Jutaan/M di Citraland Utama Dekat Graha Natura Royal Residence Dian Istana Wisata Bukit Mas Graha Famili Pakuwon Indah Prambanan Residence,2900000000,210.0,240.0,3,3,2,2.0,Unfurnished,1,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-13-jutaanm-di-citraland-utama-dekat-graha-natura-royal-residence-dian-istana-wisata-bukit-mas-graha-family-hos42241999/,rumah123
Rumah 15 Jt/M di Citraland Utama Dekat Royal Residence Dian Istana Wisata Bukit Mas Graha Famili Pakuwon Indah Prambanan Residence Greenlake,3300000000,208.0,265.0,3,4,2,2.0,Unfurnished,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-15-jtm-di-citraland-utama-dekat-royal-residence-dian-istana-wisata-bukit-mas-graha-family-pakuwon-indah-prambanan-hos42227403/,rumah123
16.6 Jt/M Rumah 2 Lantai Luas 210 di Citraland Utama Dekat Graha Natura Royal Reaidence Wisata Bukit Mas Prambanan Graha Famili Pakuwon Indah Bukit Darmo Golf Dian Istana,3500000000,210.0,300.0,4,4,2,1.0,Unfurnished,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/166-jtm-rumah-2-lantai-luas-210-di-citraland-utama-dekat-graha-natura-royal-reaidence-wisata-bukit-mas-prambanan-graha-hos42219019/,rumah123
Rumah 18 Jt/M di Citraland Utama Dekat Graha Natura Royal Residence Dian Istana Wisata Bukit Mas Graha Family Pakuwon Indah Prambanan Residence,3800000000,210.0,230.0,3,3,2,2.0,Unfurnished,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-18-jtm-di-citraland-utama-dekat-graha-natura-royal-residence-dian-istana-wisata-bukit-mas-graha-family-pakuwon-hos42234539/,rumah123
Rumah 18 Jt/M di Citraland Utama Dekat Graha Natura Royal Residence Dian Istana Wisata Bukit Mas Graha Family Pakuwon Indah Prambanan Residence,2700000000,150.0,134.0,3,2,2,1.0,Unfurnished,0,0,"Citraland, Surabaya",-7.309354,112.656548,https://www.rumah123.com/properti/surabaya-citraland/rumah-18-jtm-di-citraland-utama-dekat-graha-natura-royal-residence-dian-istana-wisata-bukit-mas-graha-family-pakuwon-hos42227570/,rumah123
Scandinavian 2 Lantai Dekat Pintu Tol Waru dan Bandara,1355000000,96.0,86.0,2,2,2,1.0,,1,1,"Gayungan, Surabaya",-7.33,112.72602,https://www.rumah123.com/properti/surabaya-gayungan/1-hunian-scandinavian-2-lantai-simple-tapi-mewah-nyaman-hos42060867/,rumah123
Rumah Siap Huni 3 KT Dekat Cito Mall,1100000000,112.0,75.0,3,1,1,2.0,,0,1,"Jambangan, Surabaya",-7.37436,112.70717,https://www.rumah123.com/properti/surabaya-jambangan/rumah-siap-huni-tipe-sapphire-8-menit-ke-surabaya-kota-hos42007906/,rumah123
"Dijual Rumah Siap Huni,Baru Renovasi,Cluster Depan Grand Harvest",1700000000,102.0,67.0,2,2,2,2.0,Unfurnished,1,1,"Wiyung, Surabaya",-7.327923,112.692586,https://www.rumah123.com/properti/surabaya-wiyung/dijual-rumah-siap-hunibaru-renovasicluster-depan-grand-harvest-hos41222135/,rumah123
Rumah Scandinavian 2 Lantai Dekat Bunderan Waru,995000000,78.0,79.0,2,2,2,1.0,,0,0,"Gayungan, Surabaya",-7.33,112.72602,https://www.rumah123.com/properti/surabaya-gayungan/rumah-2-lantai-konsep-scandinavian-elegan-terang-bersih-hos42066286/,rumah123
"Siap Huni, Rumah, 2 Lantai, SHM, Dekat Fasilitas Kesehatan, bisa KPR",2200000000,144.0,185.0,5,4,2,1.0,Semi Furnished,1,1,"Nginden, Surabaya",-7.29974,112.767357,https://www.rumah123.com/properti/surabaya-nginden/siap-huni-rumah-2-lantai-shm-dekat-fasilitas-kesehatan-bisa-kpr-hos42217369/,rumah123
"Rumah 2 Lantai, 4 Kamar Tidur Dekat Bunderan Waru dan Bandara",1830000000,130.0,112.0,4,3,2,2.0,,0,0,"Jambangan, Surabaya",-7.31747,112.71664,https://www.rumah123.com/properti/surabaya-jambangan/rumah-minimalis-modern-mewah-2-lantai-desain-elegan-luas-hos42082385/,rumah123
"Jual Rumah di Sidotopo Wetan Baru, Kenjeran Cocok untuk Usaha Home Industri, 3 SHM",7000000000,812.0,620.0,4,3,2,8.0,Unfurnished,0,0,"Kenjeran, Surabaya",-7.23563,112.786163,https://www.rumah123.com/properti/surabaya-kenjeran/jual-rumah-di-sidotopo-wetan-baru-kenjeran-cocok-untuk-usaha-home-industri-dekat-sdn-hos39141579/,rumah123
Di Jual Via Lelang Grand Pakuwon Brisbane,1790000000,144.0,171.0,4,2,2.0,2.0,Unfurnished,1,0,"Margomulyo, Surabaya",-7.2348842,112.6703892,https://www.rumah123.com/properti/surabaya-margomulyo/di-jual-via-lelang-grand-pakuwon-brisbane-hos42340493/,rumah123
"Rumah Termurah Siap Huni 1 Lantai, Strategis di Manyar Kertoarjo",7000000000,467.0,400.0,4,4,1.0,2.0,,0,0,"Manyar, Surabaya",-7.28724,112.739052,https://www.rumah123.com/properti/surabaya-manyar/rumah-manyar-kertoarjo-termurah-hos42340696/,rumah123
"Rumah, 2 Lantai, SHM, di Semolowaru Surabaya , di Hook",5900000000,412.0,380.0,6,3,2.0,1.0,Semi Furnished,1,1,"Semolowaru, Surabaya",-7.30105,112.778557,https://www.rumah123.com/properti/surabaya-semolowaru/rumah-2-lantai-shm-di-semolowaru-surabaya-di-hook-hos42305668/,rumah123
"Rumah Dian Istana Park Avenue Baru Gres Dekat Clubhouse, Pusat Bisnis dan Komersial",6800000000,246.0,300.0,4,4,2.0,2.0,Semi Furnished,1,1,"Graha, Surabaya",,,https://www.rumah123.com/properti/surabaya-graha/rumah-dian-istana-park-avenue-baru-gres-dekat-clubhouse-pusat-bisnis-dan-komersial-hos18629396/,rumah123
Dijual Rumah Belanda di Pusat Kota Surabaya Raya Darmo Siap Huni,9000000000,420.0,300.0,6,2,1.0,,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/dijual-rumah-belanda-di-pusat-kota-surabaya-raya-darmo-siap-huni-hos42089633/,rumah123
Rumah di Bukit Palma Citraland Surabaya Bagus Lingkungan Nyaman,1500000000,120.0,100.0,5,2,2.0,1.0,Unfurnished,1,1,"Pakal, Surabaya",-7.252538181224906,112.62760877609253,https://www.rumah123.com/properti/surabaya-pakal/rumah-di-bukit-palma-citraland-surabaya-bagus-lingkungan-nyaman-hos41774302/,rumah123
Brand New Rumah Elite Wisata Bukit Mas 5 KT Strategis,3200000000,112.0,128.0,5,3,2.0,2.0,,0,0,"Pakuwon, Surabaya",-7.289141,112.67572,https://www.rumah123.com/properti/surabaya-pakuwon/brand-new-rumah-elite-wisata-bukit-mas-5-kt-strategis-hos41713074/,rumah123
