judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,kecamatan,jarak_ke_pusat_kota,rasio_bangunan_tanah,luas_bangunan_per_lantai,sumber_data
"Rumah Jl. Pudak, Kec. Genteng, Surabaya Pusat. Dekat Raya Kusuma Bangsa, Jaksa Agung Suprapto, Ambengan, Walikota Mustajab, Undaan Wetan - Kulon, Seruni, Ketupa, Kalianyar, Ngaglik, Jagalan, Dll.",8000000000,436.0,351.0,4.0,3.0,1.0,1.0,Unfurnished,Genteng,1.11,0.805045871559633,351.0,rumah123
Dijual Rumah Lokasi Strategis LT 403 M2 di Jalan Kayun Surabaya Jawa Timur,8600000000,403.0,403.0,3.0,3.0,1.0,1.0,Unfurnished,Genteng,1.03,1.0,403.0,rumah123
Dijual Cepatt Rumah Raya Kecilung Surabaya Pusat,8500000000,426.0,405.0,7.0,4.0,2.0,2.0,Unfurnished,Genteng,1.11,0.9507042253521126,202.5,rumah123
"Jual Rumah Hitung Harga Tanah di Area Kalianyar, Surabaya Pusat",800000000,198.0,175.0,2.0,1.0,1.0,,Unfurnished,Genteng,1.11,0.8838383838383839,175.0,rumah123
"Rumah Jalan Ogan, Pusat Kota Surabaya, Strategis, Hadap Utara",5250000000,253.0,250.0,6.0,2.0,1.0,,Unfurnished,Genteng,1.11,0.9881422924901185,250.0,rumah123
"Rumah Jalan Ogan, Pusat Kota Surabaya, Strategis, Hadap Utara",5250000000,231.0,200.0,1.0,1.0,1.0,,Unfurnished,Genteng,1.11,0.8658008658008658,200.0,rumah123
Dijual Rumah Tengah Kota Surabaya Lokasi Komersial,39900000000,877.0,670.0,4.0,4.0,1.0,4.0,Unfurnished,Genteng,1.22,0.7639680729760547,670.0,rumah123
"Rumah Siap Huni di Ambengan, Surabaya Utara - Lokasi Strategis",19000000000,676.0,600.0,4.0,3.0,1.0,,Unfurnished,Genteng,0.36,0.8875739644970414,600.0,rumah123
Dijual Rumah Lama Strategis di Jalan Raya Kapasari Surabaya,18000000000,666.0,350.0,9.0,4.0,1.0,,Unfurnished,Genteng,1.11,0.5255255255255256,350.0,rumah123
Dijual Murah Rumah Hook di Jl Jaksa Agung Suprapto Surabaya Pusat,12000000000,612.0,734.0,4.0,2.0,2.0,,Unfurnished,Genteng,1.11,1.1993464052287581,367.0,rumah123
