judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,kecamatan,jarak_ke_pusat_kota,rasio_bangunan_tanah,luas_bangunan_per_lantai,sumber_data
"Rumah Lama 1,5 Lantai Terawat Bersih Tengah Kota",6500000000,315.0,225.0,3.0,3.0,1.0,1.0,Furnished,Sawahan,2.47,0.7142857142857143,225.0,rumah123
"Rumah Siap Huni Minimalis Modern di Jl. Argopuro, Sby Pusat",15000000000,620.0,600.0,4.0,3.0,2.0,3.0,Unfurnished,Sawahan,2.47,0.967741935483871,300.0,rumah123
Dijual Murah Rumah di Jalan Argopuro Surabaya Pusat,6800000000,431.0,400.0,3.0,2.0,1.0,1.0,Unfurnished,Sawahan,2.47,0.9280742459396751,400.0,rumah123
Pusat Kota Surabaya Rumah di Jalan Kelud,15000000000,1025.0,800.0,5.0,5.0,2.0,2.0,Unfurnished,Sawahan,2.47,0.7804878048780488,400.0,rumah123
Rumah Dijual Dijalan Widodaren Surabaya Pusat,20000000000,882.0,319.0,4.0,2.0,2.0,,Unfurnished,Sawahan,2.34,0.36167800453514737,159.5,rumah123
Dijual Lokasi tengah kota Raya Anjasmoro Surabaya,42000000000,1120.0,550.0,8.0,3.0,1.0,6.0,Unfurnished,Sawahan,2.47,0.49107142857142855,550.0,rumah123
Dijual Murah Rumah Usaha di Petemon Timur Surabaya,1800000000,167.0,202.0,3.0,2.0,1.0,,Unfurnished,Sawahan,2.47,1.2095808383233533,202.0,rumah123
"Rumah Jalan Widodaren Surabaya 1,5 Lantai Hadap Timur",7500000000,314.0,138.0,3.0,3.0,,3.0,Unfurnished,Sawahan,4.01,0.4394904458598726,,rumah123
Rumah Jalan Widodaren Surabaya 2 Lantai Hook Timur Selatan Lokasi Strategis,19000000000,881.0,319.0,5.0,5.0,2.0,5.0,Unfurnished,Sawahan,4.01,0.3620885357548241,159.5,rumah123
Rumah di Argopuro Mediterania Modern Nol Jalan Raya Strategis Bagus Siap Huni,11000000000,579.0,423.0,5.0,3.0,1.0,,Unfurnished,Sawahan,2.47,0.7305699481865285,423.0,rumah123
"Rumah Hitung Tanah di Jl Widodaren, Surabaya",10632000000,683.0,214.0,,,,,Unfurnished,Sawahan,4.01,0.31332357247437775,,rumah123
"Rumah 2 Lantai Jl. Tokala Pusat Kota, Dekat Raya Arjuno, LT 602 M",9000000000,602.0,570.0,,4.0,2.0,1.0,Unfurnished,Sawahan,3.3,0.946843853820598,285.0,rumah123
Rumah Siap Huni Pakis Tirtosari Sawahan Surabaya,1200000000,92.0,130.0,3.0,2.0,2.0,1.0,Semi Furnished,Sawahan,2.47,1.4130434782608696,65.0,rumah123
Rumah Hitung Tanah Mojoklanggru Wetan,3500000000,304.0,200.0,3.0,2.0,1.0,2.0,Unfurnished,Gubeng,2.58,0.6578947368421053,200.0,rumah123
"Rumah Ngagel Jaya Cocok untuk Klinik, Cafe, Kantor & Kos",2800000000,238.0,300.0,,3.0,1.0,,Semi Furnished,Gubeng,3.92,1.2605042016806722,300.0,rumah123
Dijual Rumah 1 Lantai di Bratang Binangun‼️,1700000000,160.0,110.0,3.0,2.0,1.0,1.0,Unfurnished,Gubeng,1.88,0.6875,110.0,rumah123
Jual Rumah Baru Minimalis Mojo Dekat Dharmahusada Unair Its Semifurnish SHM 2.75M Nego,2750000000,100.0,175.0,3.0,3.0,2.0,2.0,Unfurnished,Gubeng,1.88,1.75,87.5,rumah123
Darmo Indah,1200000000,150.0,100.0,2.0,2.0,1.0,,Unfurnished,Gubeng,2.58,0.6666666666666666,100.0,rumah123
"Rumah Tengah Kota Jalan Sumatra, Gubeng, Surabaya",14000000000,437.0,388.0,6.0,4.0,2.0,1.0,Unfurnished,Gubeng,1.88,0.8878718535469108,194.0,rumah123
Rumah Murah Tanpa DP di Dekat Merr Surabaya Grand Alana Wonorejo,614000000,50.0,30.0,2.0,1.0,1.0,1.0,Semi Furnished,Gubeng,1.88,0.6,30.0,rumah123
Rumah Dharmahusada Indah Hitung Tanah,3900000000,312.0,200.0,4.0,3.0,1.0,,Unfurnished,Gubeng,1.88,0.6410256410256411,200.0,rumah123
Dijual Rumah Hit Tanah Mojo Arum Dkt Tengah Kota SHM Hdp Selatan,3000000000,397.0,300.0,3.0,2.0,1.0,2.0,Unfurnished,Gubeng,3.0,0.7556675062972292,300.0,rumah123
Dijual Rumah Usaha 0 Jalan Raya Karang Menjangan SHM Area Ramai,2150000000,161.0,161.0,2.0,2.0,1.0,2.0,Unfurnished,Gubeng,1.61,1.0,161.0,rumah123
Rumah Mewah Nol Jalan Surabaya Timur SHM. 1000M2 10Juta/M2.,10000000000,972.0,1200.0,4.0,4.0,3.0,8.0,Unfurnished,Gubeng,1.88,1.2345679012345678,400.0,rumah123
Dijual Rumah Siap Huni Tengah Kota Surabaya,3600000000,265.0,180.0,4.0,2.0,1.0,,Unfurnished,Gubeng,1.88,0.6792452830188679,180.0,rumah123
Dijual Rumah 1 Lantai di Baratajaya,2000000000,200.0,200.0,4.0,2.0,1.0,1.0,Unfurnished,Gubeng,1.88,1.0,200.0,rumah123
Luas 510 M2!! Dijual Cepat Rumah Tengah Kota Manyar Kertoarjo (Bonnet) - Gubeng Surabaya,10500000000,510.0,880.0,5.0,4.0,2.0,2.0,Unfurnished,Gubeng,2.79,1.7254901960784315,440.0,rumah123
Dijual Rumah Terawat 2 LT Mojoklangru Wetan,2700000000,182.0,400.0,9.0,3.0,2.0,2.0,Unfurnished,Gubeng,1.88,2.197802197802198,200.0,rumah123
Dijual Rumah di Manyar Kertoarjo Dekat Galaxy Mall Surabaya,8820000000,490.0,390.0,3.0,4.0,1.0,,Unfurnished,Gubeng,1.88,0.7959183673469388,390.0,rumah123
Dijual Murah Rumah Hook 2Lt di Citra Asri Benowo,1700000000,144.0,288.0,4.0,3.0,2.0,1.0,Unfurnished,Benowo,13.75,2.0,144.0,rumah123
Rumah Pojok Plus Toko Strategis Cocok Usaha di Wisma Tengger,1200000000,184.0,184.0,4.0,1.0,1.0,1.0,Unfurnished,Benowo,13.75,1.0,184.0,rumah123
Rumah Siap Huni 2 Lantai Bagus Palma Grandia Citraland Surabaya,2500000000,136.0,110.0,4.0,3.0,2.0,1.0,Unfurnished,Benowo,4.05,0.8088235294117647,55.0,rumah123
Dihjual Rumah Siap Huni Selangkah Dari Pakuwon Mall,1350000000,72.0,144.0,,,2.0,1.0,Unfurnished,Benowo,11.91,2.0,72.0,rumah123
Dijual Rumah SHM di Tengger Kandangan Surabaya Barat,1500000000,162.0,162.0,3.0,1.0,1.0,,Unfurnished,Benowo,13.75,1.0,162.0,rumah123
Rumah Bagus Strategis di Citraland Rumah Bukit Palma Surabaya,1900000000,229.0,120.0,4.0,3.0,2.0,1.0,Unfurnished,Benowo,13.75,0.5240174672489083,60.0,rumah123
Jual Rumah Greenhill Citraland Utara Dekat Jllb,1900000000,120.0,160.0,3.0,2.0,2.0,2.0,Unfurnished,Benowo,13.35,1.3333333333333333,80.0,rumah123
Nego Hunian Bergaya Modern Semifurnished di Palma Grandia Surabaya,4000000000,308.0,350.0,4.0,2.0,2.0,1.0,Semi Furnished,Benowo,13.75,1.1363636363636365,175.0,rumah123
Dijual Rumah 2 Lantai Posisi Pojok di Palma Grandia Surabaya,4000000000,308.0,350.0,4.0,2.0,2.0,1.0,Semi Furnished,Benowo,13.75,1.1363636363636365,175.0,rumah123
Di Jual Rumah Wilayah Barat Palma Grandia .Rumah Second Terawat,2500000000,136.0,110.0,3.0,2.0,1.0,,Unfurnished,Benowo,13.75,0.8088235294117647,110.0,rumah123
Dijual Rumah SHM di Bukit Tengger Regency Surabaya,1650000000,92.0,125.0,2.0,2.0,2.0,,Unfurnished,Benowo,13.75,1.358695652173913,62.5,rumah123
"Rumah Dijual Dreamingland, Pakal, Benowo, Surabaya",850000000,105.0,105.0,2.0,1.0,1.0,,Unfurnished,Benowo,13.75,1.0,105.0,rumah123
"Rumah Dijual Griya Citra Asri, Benowo, Surabaya",900000000,116.0,78.0,2.0,1.0,1.0,,Unfurnished,Benowo,13.75,0.6724137931034483,78.0,rumah123
"Rumah Dijual Western Village, Pakal, Benowo, Surabaya",800000000,90.0,60.0,2.0,1.0,1.0,,Unfurnished,Benowo,13.75,0.6666666666666666,60.0,rumah123
Harga Jual Turun Rumah 2 Lantai Siap Huni Kendung Benowo Surabaya,750000000,67.0,134.0,5.0,3.0,2.0,1.0,Unfurnished,Benowo,12.64,2.0,67.0,rumah123
Rumah Dijual Pondok Benowo Indah,375000000,72.0,72.0,3.0,1.0,1.0,,Unfurnished,Benowo,13.75,1.0,72.0,rumah123
Rumah 2 Lantai Griya Citra Asri Benowo Surabaya Barat,1350000000,72.0,144.0,3.0,2.0,2.0,1.0,Unfurnished,Benowo,13.75,2.0,72.0,rumah123
Dijual Rumah Siap Huni Furnished di Pantai Mentari Tinggal Pasang AC dan Bed,1770000000,102.0,101.0,4.0,3.0,2.0,,Furnished,Bulak,5.09,0.9901960784313726,50.5,rumah123
Dijual Rumah di Perumahan Bulak Surabaya Utara,855000000,90.0,60.0,2.0,1.0,1.0,1.0,Unfurnished,Bulak,5.09,0.6666666666666666,60.0,rumah123
Di Jual Murah Lokasi Strategis Dekat Pusat Kota,2200000000,102.0,156.0,4.0,4.0,2.0,2.0,Unfurnished,Bulak,5.09,1.5294117647058822,78.0,rumah123
Rumah Pantai Mentari Minimalis,1690000000,102.0,101.0,3.0,2.0,2.0,,Semi Furnished,Bulak,5.09,0.9901960784313726,50.5,rumah123
Dijual Rumah Pantai Mentari Cluster Depan Dekat Kenjeran,1000000000,72.0,50.0,3.0,1.0,1.0,1.0,Unfurnished,Bulak,4.05,0.6944444444444444,50.0,rumah123
Rumah.bulak Rukem Timur Kenjeran Surabaya,399000000,72.0,60.0,2.0,1.0,2.0,,Unfurnished,Bulak,5.09,0.8333333333333334,30.0,rumah123
Dijual Rumah Kedinding Lor - Baru Gress,990000000,57.0,58.0,3.0,2.0,2.0,1.0,Unfurnished,Bulak,5.09,1.0175438596491229,29.0,rumah123
Dijual Rumah Pantai Mentari Surabaya Siap Huni,5000000000,295.0,885.0,4.0,6.0,3.0,2.0,Unfurnished,Bulak,5.09,3.0,295.0,rumah123
Dijual Rumah Pantai Mentari Surabaya,1850000000,90.0,135.0,4.0,3.0,2.0,2.0,Unfurnished,Bulak,5.09,1.5,67.5,rumah123
Di Tawarkan Rumah Cantik Murahhhhhh Guys 2 Lantai Gading Indah Regency .,1300000000,122.0,250.0,2.0,2.0,2.0,,Unfurnished,Bulak,5.09,2.0491803278688523,125.0,rumah123
Murah Butuh Cepat Laku Rumah Pantai Mentari Bagus Siap Huni,2200000000,140.0,210.0,4.0,3.0,2.0,2.0,Unfurnished,Bulak,5.09,1.5,105.0,rumah123
Jual Cepat Hunian Modern di Pantai Mentari Surabaya Dekat Tempat Wisata,1500000000,108.0,150.0,3.0,2.0,2.0,1.0,Unfurnished,Bulak,5.09,1.3888888888888888,75.0,rumah123
"Rumah Siap Huni Bulak Banteng, Harga Terjangkau & Akses Suramadu",850000000,75.0,70.0,2.0,1.0,1.0,,Furnished,Bulak,4.08,0.9333333333333333,70.0,rumah123
Dijual Rumah 2Lt Semi Furnish di Pantai Mentari,1600000000,102.0,120.0,3.0,3.0,2.0,1.0,Semi Furnished,Bulak,5.09,1.1764705882352942,60.0,rumah123
Dijual Rumah Perum Pantai Mentari Kenjeran,1500000000,119.0,220.0,3.0,2.0,1.0,1.0,Unfurnished,Bulak,4.98,1.8487394957983194,220.0,rumah123
Dijual Rumah Perum Pantai Mentari Kenjeran,1500000000,119.0,220.0,3.0,2.0,2.0,1.0,Unfurnished,Bulak,4.98,1.8487394957983194,110.0,rumah123
Jual Cepat Rumah 1.5M Surabaya Pantai Mentari 2Lt,1500000000,108.0,150.0,3.0,2.0,2.0,,Unfurnished,Bulak,5.09,1.3888888888888888,75.0,rumah123
Dijual Rumah Mewah Hook Full Interior dan Furnish Surabaya Timur,1300000000,122.0,250.0,3.0,2.0,2.0,1.0,Unfurnished,Bulak,5.63,2.0491803278688523,125.0,rumah123
Dijual Rumah Mewah Hook Full Interior dan Furnish Surabaya Timur,1300000000,122.0,250.0,3.0,2.0,2.0,1.0,Unfurnished,Bulak,5.63,2.0491803278688523,125.0,rumah123
Rumah Raya Joyoboyo,10000000000,353.0,260.0,3.0,2.0,1.0,1.0,Unfurnished,Wonokromo,5.64,0.7365439093484419,260.0,rumah123
"Rumah Mewah 2 Lantai Royal Ketintang, Strategis Surabaya",3400000000,120.0,200.0,3.0,3.0,2.0,,Unfurnished,Wonokromo,4.81,1.6666666666666667,100.0,rumah123
Jual Rumah Hitung Tanah Di Jl Bratang Gede Rumah di Wonokromo,6900000000,630.0,500.0,4.0,2.0,2.0,3.0,Semi Furnished,Wonokromo,5.64,0.7936507936507936,250.0,rumah123
"Dijual Rumah Pusat Kota Surabaya Jalan Mangkunegoro, Selangkah Dari Raya Diponegoro, Raya Kartini, Dr. Soetomo",8000000000,270.0,160.0,3.0,3.0,,,Unfurnished,Wonokromo,4.81,0.5925925925925926,,rumah123
Rumah Strategis Jl Progo Dekat Raya Darmo Surabaya Pusat,30000000000,640.0,700.0,4.0,4.0,2.0,,Unfurnished,Wonokromo,4.81,1.09375,350.0,rumah123
Llg Dijual Murah Cocok untuk Usaha di Pusat Kota Surabaya,11500000000,654.0,1000.0,6.0,5.0,2.0,2.0,Unfurnished,Wonokromo,3.65,1.529051987767584,500.0,rumah123
Dijual Rumah Dijalan Juwono Surabaya Pusat,16620000000,665.0,665.0,3.0,2.0,1.0,,Unfurnished,Wonokromo,4.17,1.0,665.0,rumah123
Rumah Dijual Pusat Kota Surabaya,15000000000,284.0,200.0,4.0,4.0,,1.0,Unfurnished,Wonokromo,4.81,0.704225352112676,,rumah123
Rumah 2 lt Dijual di Jalan Wonoayu Wonokromo Surabaya,4000000000,240.0,320.0,5.0,4.0,2.0,,Unfurnished,Wonokromo,5.64,1.3333333333333333,160.0,rumah123
"Rumah Siap Huni di Lesti, Belakang Cocari Indragiri Pusat Kota",2300000000,199.0,110.0,3.0,2.0,1.0,,Unfurnished,Wonokromo,4.36,0.5527638190954773,110.0,rumah123
Jual Rumah Hitung Tanah Tengah Kota Dkt Ciliwung Kutai Mayjen,7500000000,416.0,340.0,6.0,2.0,2.0,,Unfurnished,Wonokromo,4.81,0.8173076923076923,170.0,rumah123
Dijual Rumah Strategis di Bratang Binangun Surabaya,1350000000,142.0,142.0,4.0,1.0,1.0,,Unfurnished,Wonokromo,5.64,1.0,142.0,rumah123
Rumah Huk Tengah Kota Surabaya Darmo Wonokromo bisa Usaha,31000000000,562.0,400.0,5.0,6.0,2.0,2.0,Unfurnished,Wonokromo,4.15,0.7117437722419929,200.0,rumah123
"Rumah dijual di Jalan Opak Surabaya Pusat, Pusat bisnis FnB",15000000000,508.0,300.0,,,1.0,,Unfurnished,Wonokromo,5.64,0.5905511811023622,300.0,rumah123
Rumah Bagus Pusat Kota Surabaya,20000000000,680.0,780.0,6.0,3.0,2.0,,Semi Furnished,Wonokromo,5.64,1.1470588235294117,390.0,rumah123
Rumah Bagus Bendul Merisi Utara. Bendul Merisi. Bendul Merisi Permai. Bendul Merisi Selatan. Sidosermo. Sidosermo Permai. Sidosermo Permai Selatan. Ayani. Jemursari. Margorejo. Merr. Baruk. Surabaya.murah.bagus,3000000000,246.0,200.0,3.0,3.0,1.0,2.0,Unfurnished,Wonokromo,5.64,0.8130081300813008,200.0,rumah123
Rumah Dekat Ciputra World di Sawunggaling Surabaya,5200000000,300.0,300.0,3.0,2.0,2.0,,Unfurnished,Wonokromo,5.64,1.0,150.0,rumah123
"RUMAH HITUNG TANAH JL. MONGINSIDI ELIT PUSAT KOTA dekat Kartini, Raya Darmo, Diponegoro, pusat bisnis dan komersial",40000000000,1500.0,900.0,4.0,3.0,,,Unfurnished,Tegalsari,2.2,0.6,,rumah123
"RUMAH JL. IMAM BONJOL pusat kota dekat Raya Darmo, Diponegoro, Dr. Soetomo pusat bisnis dan komersial",31000000000,776.0,200.0,4.0,2.0,1.0,,Unfurnished,Tegalsari,2.2,0.25773195876288657,200.0,rumah123
"RUMAH MEWAH JL. IMAM BONJOL PUSAT KOTA DEKAT KARTINI, RAYA DARMO, DIPONEGORO, PANDEGILING, PUSAT BISNIS DAN KOMERSIAL.",30000000000,682.0,700.0,6.0,6.0,,,Unfurnished,Tegalsari,2.2,1.0263929618768328,,rumah123
Surabaya Pusat Cocok untuk Kantor,33000000000,994.0,800.0,1.0,3.0,2.0,3.0,Unfurnished,Tegalsari,2.41,0.8048289738430584,400.0,rumah123
Dijual Rumah Siap Huni di Jl Kaca Piring Surabaya Pusat,5000000000,448.0,230.0,3.0,2.0,1.0,,Unfurnished,Tegalsari,2.41,0.5133928571428571,230.0,rumah123
Dijual Rumah Lama Bangunan Kuno di Tegalsari Surabaya,13000000000,470.0,280.0,2.0,2.0,1.0,,Unfurnished,Tegalsari,2.41,0.5957446808510638,280.0,rumah123
Dijual Rumah Pasar Kembang 0 Jalan Lok Strategis,11000000000,164.0,486.0,5.0,4.0,3.0,1.0,Unfurnished,Tegalsari,2.41,2.9634146341463414,162.0,rumah123
Rumah Surabaya Pusat Kota Jalan Musi Lokasi Strategis,18000000000,513.0,500.0,5.0,5.0,1.0,,Semi Furnished,Tegalsari,2.41,0.9746588693957114,500.0,rumah123
Dijual Rumah Lama Murah di Jl Blambangan Surabaya Pusat,9000000000,420.0,300.0,5.0,2.0,1.0,,Unfurnished,Tegalsari,2.41,0.7142857142857143,300.0,rumah123
Dijual atau Disewakan Rumah Belanda Pusat Kota Tegalsari Surabaya,9000000000,420.0,300.0,6.0,3.0,1.0,,Unfurnished,Tegalsari,2.41,0.7142857142857143,300.0,rumah123
Dijual Rumah Pandegiling Tegalsari Surabaya Ron.a2321,14100000000,641.0,640.0,4.0,3.0,2.0,6.0,Unfurnished,Tegalsari,2.41,0.9984399375975039,320.0,rumah123
Dijual Rumah Usaha Pusat Kota di Jl Mh Thamrin Surabaya,36780000000,1051.0,700.0,18.0,9.0,2.0,,Unfurnished,Tegalsari,2.41,0.6660323501427212,350.0,rumah123
Rumah 1 Lantai Tegalsari Surabaya - Rm316apd,33000000000,630.0,587.0,3.0,2.0,1.0,1.0,Unfurnished,Tegalsari,2.41,0.9317460317460318,587.0,rumah123
"Hunian Elite di Pusat Kota | Rumah 2,5 Lantai Bangunan Mewah",30000000000,1080.0,1500.0,6.0,5.0,2.0,1.0,Furnished,Tegalsari,2.12,1.3888888888888888,750.0,rumah123
Dijual Rumah Murah Kedung Klinter,3700000000,507.0,450.0,5.0,3.0,1.0,1.0,Unfurnished,Tegalsari,2.41,0.8875739644970414,450.0,rumah123
Rumah Pandegiling Surabaya Murah. Ron.a2321,14100000000,641.0,640.0,4.0,3.0,2.0,6.0,Unfurnished,Tegalsari,4.05,0.9984399375975039,320.0,rumah123
Hunian Strategis Pusat Surabaya - Dekat Area Bisnis Kedungdoro,2250000000,240.0,240.0,5.0,3.0,1.0,1.0,Semi Furnished,Tegalsari,2.34,1.0,240.0,rumah123
Dijual Rumah Jalan Trunojoyo 3 Lantai Siap Huni Strategis,19000000000,554.0,950.0,15.0,4.0,3.0,3.0,Unfurnished,Tegalsari,2.41,1.7148014440433212,316.6666666666667,rumah123
Rumah Raya Wiguna 1Lantai Harga Murah 2M,2000000000,180.0,100.0,3.0,2.0,1.0,,Unfurnished,Gunung Anyar,10.33,0.5555555555555556,100.0,rumah123
Wiguna Timur 1 LT Kosongan di Gunung Anyar,1700000000,144.0,61.0,3.0,2.0,1.0,1.0,Unfurnished,Gunung Anyar,10.33,0.4236111111111111,61.0,rumah123
Rumah Siap Huni Selangkah ke Upn Gununganyar Rungkut Surabaya,668000000,51.0,30.0,2.0,1.0,1.0,1.0,Unfurnished,Gunung Anyar,10.33,0.5882352941176471,30.0,rumah123
"Rumah Hook 2 Lantai di Wiguna Timur, Surabaya.",1200000000,180.0,250.0,3.0,3.0,2.0,1.0,Unfurnished,Gunung Anyar,4.05,1.3888888888888888,125.0,rumah123
Jual Rumah Pandugo Gununganyar Rungkut Surabaya Dekat Kampus Upn,884000000,50.0,62.0,3.0,2.0,2.0,1.0,Semi Furnished,Gunung Anyar,10.33,1.24,31.0,rumah123
Dijual Rumah Baru Minimalis 2 lt Murah Dekat ke Merr  Tol UPN,975000000,66.0,100.0,3.0,2.0,2.0,1.0,Unfurnished,Gunung Anyar,10.77,1.5151515151515151,50.0,rumah123
Rumah Tinggal di Perumahan Gununganyar Harapan Indah Kota Surabaya,1200000000,198.0,114.0,2.0,1.0,1.0,1.0,Unfurnished,Gunung Anyar,10.33,0.5757575757575758,114.0,rumah123
Rungkut Gununganyar Unit Baru Gress,890000000,100.0,65.0,3.0,1.0,2.0,1.0,Unfurnished,Gunung Anyar,4.05,0.65,32.5,rumah123
Jual rumah 2 lantai di Raya Gununganyar lokasi strategis,1200000000,113.0,150.0,9.0,3.0,2.0,,Unfurnished,Gunung Anyar,10.33,1.3274336283185841,75.0,rumah123
0347-Dijual Rumah Usaha 2 Lantai SHM LB 90 M2 di Gunung Anyar Surabaya,1300000000,71.0,90.0,1.0,2.0,2.0,,Unfurnished,Gunung Anyar,10.33,1.267605633802817,45.0,rumah123
Jual Rumah Murah Minimalis di Surabaya Timur Wiguna,975000000,90.0,90.0,3.0,2.0,,1.0,Unfurnished,Gunung Anyar,9.76,1.0,,rumah123
"Rumah 2 Lantai Minimalis, One Gate System Siap Huni Sudah Renovasi, Dekat Merr",1850000000,153.0,140.0,4.0,3.0,2.0,2.0,Unfurnished,Gunung Anyar,10.33,0.9150326797385621,70.0,rumah123
Hunian Nyaman & Terawat 2 Lantai Strategis di Central Park Merr,2300000000,98.0,115.0,2.0,3.0,2.0,2.0,Unfurnished,Gunung Anyar,10.33,1.1734693877551021,57.5,rumah123
Rumah Baru Gunung Anyar Emas 2 Lantai Mewah,1540000000,100.0,100.0,3.0,3.0,1.0,,Unfurnished,Gunung Anyar,10.33,1.0,100.0,rumah123
"Rumah SHM 600 Jutaan! Rumah Baru Renovasi 2 KT, One Gate, 5 Menit ke Merr - Gunung Anyar Surabaya Timur",690000000,70.0,45.0,2.0,1.0,1.0,1.0,Unfurnished,Gunung Anyar,10.33,0.6428571428571429,45.0,rumah123
Rumah Hunian Keluarga Ideal di Wiguna Tengah - One Gate & Row 2 Mobil,1400000000,135.0,100.0,3.0,2.0,1.0,,Unfurnished,Gunung Anyar,10.33,0.7407407407407407,100.0,rumah123
Av09. Dijual Rumah Baru Gunung Anyar Tambak Rungkut Surabaya,675000000,50.0,70.0,3.0,2.0,2.0,1.0,Unfurnished,Gunung Anyar,11.24,1.4,35.0,rumah123
"Dijual 144 M2 Rumah Purimas Regency Gununganyar - Surabaya Timur - Full Furnished Modern Dekat Upn, Trans Mart Rungkut, Raya Merr",2500000000,144.0,144.0,3.0,3.0,1.0,1.0,Furnished,Gunung Anyar,10.33,1.0,144.0,rumah123
Dijual Rumah di Wiguna Gununganyar Dekat Merr Rungkut,1850000000,153.0,140.0,3.0,2.0,2.0,1.0,Unfurnished,Gunung Anyar,10.33,0.9150326797385621,70.0,rumah123
Dijual Cepat Rumah Northwest Hill Full Furnished Siap Huni Terawat Bagus Surabaya Barat,1800000000,72.0,103.0,3.0,2.0,2.0,2.0,Semi Furnished,Pakal,13.59,1.4305555555555556,51.5,rumah123
Rumah Mewah Darmo Hill Surabaya,25000000000,1050.0,850.0,8.0,6.0,2.0,,Unfurnished,Pakal,13.59,0.8095238095238095,425.0,rumah123
Rumah Murah di Pakal Citraland,1300000000,94.0,150.0,3.0,3.0,2.0,1.0,Unfurnished,Pakal,13.59,1.5957446808510638,75.0,rumah123
Dijual Rumah Pakal Madya Asri Surabaya Ron.a2193,950000000,101.0,105.0,2.0,1.0,1.0,1.0,Semi Furnished,Pakal,13.59,1.0396039603960396,105.0,rumah123
Dijual Rumah 2 Lantai Northwest Citraland Furnish Surabaya,1900000000,72.0,103.0,3.0,3.0,2.0,1.0,Furnished,Pakal,13.59,1.4305555555555556,51.5,rumah123
Dijual Rumah Northwest Hills Citraland Pakal Surabaya Ron.a1015,1300000000,72.0,73.0,2.0,2.0,2.0,1.0,Unfurnished,Pakal,13.59,1.0138888888888888,36.5,rumah123
Rumah Hook Citraland Utara North West Park Siap Huni,825000000,72.0,46.0,2.0,1.0,1.0,1.0,Unfurnished,Pakal,13.59,0.6388888888888888,46.0,rumah123
Dijual Cepat Rumah Northwest Park - Jalan Utama,1650000000,120.0,100.0,3.0,2.0,2.0,1.0,Unfurnished,Pakal,13.59,0.8333333333333334,50.0,rumah123
Dijual Cepat Citraland Surabaya Northwest Park Blok Nc Jalan Utama Cluster,1650000000,120.0,100.0,3.0,2.0,2.0,,Unfurnished,Pakal,13.59,0.8333333333333334,50.0,rumah123
"Dijual Rumah Northwest Park, Citraland, Surabaya",1075000000,72.0,40.0,2.0,1.0,1.0,1.0,Unfurnished,Pakal,13.59,0.5555555555555556,40.0,rumah123
Dijual Rumah Nortwest Lake Citraland Surabaya Murah,975000000,72.0,69.0,2.0,2.0,2.0,1.0,Unfurnished,Pakal,13.59,0.9583333333333334,34.5,rumah123
Dijual Rumah Baru Gress Modern Minimalis di Bukit Palma Surabaya Barat,2000000000,120.0,170.0,4.0,4.0,2.0,2.0,Unfurnished,Pakal,13.59,1.4166666666666667,85.0,rumah123
Dijual Rumah Murah Northwest Lake Citraland,1100000000,72.0,90.0,3.0,2.0,2.0,1.0,Unfurnished,Pakal,4.05,1.25,45.0,rumah123
"Pakal Madya Asri, Sby Barat, Semi Furnished",850000000,101.0,56.0,2.0,1.0,1.0,1.0,Semi Furnished,Pakal,13.59,0.5544554455445545,56.0,rumah123
Dijual Rumah Bukit Palma Citraland Pakal Surabaya Ron.a1610,1300000000,120.0,120.0,3.0,1.0,2.0,2.0,Furnished,Pakal,13.59,1.0,60.0,rumah123
Pakal Madya Asri Rumah Siap Huni Minimalis Ekonomis,775000000,105.0,56.0,2.0,1.0,,1.0,Unfurnished,Pakal,13.59,0.5333333333333333,,rumah123
Rumah Baru Murah Luas di Citraland NorthWest Lake Surabaya,2550000000,129.0,190.0,4.0,4.0,2.0,,Unfurnished,Pakal,16.07,1.4728682170542635,95.0,rumah123
Forsale Rumah Bukit Palma New Gress Minimalis Strategis Surabaya Kota Ma 473,2250000000,120.0,170.0,5.0,5.0,2.0,2.0,Unfurnished,Pakal,13.59,1.4166666666666667,85.0,rumah123
New House Modern Minimalis Full Furnished di Cluster Northwest Park Citraland Utara Surabaya,1950000000,90.0,130.0,3.0,2.0,2.0,1.0,Furnished,Pakal,13.59,1.4444444444444444,65.0,rumah123
Gading Pantai Baru Gress 2Lt Hok,1800000000,90.0,150.0,3.0,3.0,2.0,1.0,Unfurnished,Kenjeran,4.48,1.6666666666666667,75.0,rumah123
Pantai Mentari Baru Gress 2Lt,1850000000,90.0,135.0,4.0,3.0,2.0,2.0,Unfurnished,Kenjeran,4.48,1.5,67.5,rumah123
Barang Nemu!! Gading Pantai Dkt Pakuwon City Mulyorejo Unair,5600000000,465.0,265.0,3.0,3.0,2.0,2.0,Unfurnished,Kenjeran,4.48,0.5698924731182796,132.5,rumah123
"Rumah siap huni di Lebak Indah, Surabaya Timur",2800000000,297.0,250.0,4.0,3.0,1.0,1.0,Unfurnished,Kenjeran,4.48,0.8417508417508418,250.0,rumah123
"Rumah di cluster Ocean Park, Pantai Mentari, Surabaya Timur",2100000000,153.0,85.0,3.0,2.0,1.0,,Unfurnished,Kenjeran,4.48,0.5555555555555556,85.0,rumah123
