judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,latitude,longitude,sumber_data
Rumah Pantai Mentari Baru Gress 2 Lantai Siap Huni SHM Sanitary Toto,1850000000,90.0,135.0,5.0,4.0,2.0,2.0,Unfurnished,-7.240977,112.79512,rumah123
"Dijual Rumah Modern Minimalis, Pantai Mentari",1770000000,102.0,101.0,3.0,2.0,2.0,2.0,Semi Furnished,-7.240977,112.79512,rumah123
Dijual Rumah Pantai Mentari! 2 LT! Nego!,1850000000,90.0,135.0,4.0,3.0,2.0,2.0,Unfurnished,-7.240977,112.79512,rumah123
"Dijual Rumah Baru - Setro Utara, Tambaksari Surabaya Timur",600000000,65.0,60.0,2.0,1.0,1.0,1.0,Unfurnished,-7.240977,112.79512,rumah123
Dijual Rumah Gading Intang Utara Bulak Surabaya,950000000,166.0,125.0,3.0,1.0,1.0,1.0,Unfurnished,-7.28917,112.734,rumah123
"Dijual Rumah Pantai Mentari 2 Lantai Terawat, Bersih & Siap Huni Surabaya",2350000000,153.0,194.0,4.0,3.0,2.0,2.0,Semi Furnished,-7.240977,112.79512,rumah123
Dijual Rumah Pantai Mentari Cluster Depan Dekat Kenjeran,1000000000,72.0,50.0,3.0,1.0,1.0,1.0,Unfurnished,-7.28917,112.734,rumah123
"Dijual disewakan Rumah Pantai Mentari Hampton Regency, Surabaya",3500000000,187.0,200.0,3.0,2.0,2.0,1.0,Semi Furnished,-7.2409767,112.7951194,rumah123
"Rumah 1 Lantaisiap Huni Pantai Mentari Row Jalan Besar Dekat Raya Kenjeran, Pakuwon City",1600000000,120.0,120.0,2.0,1.0,1.0,2.0,Unfurnished,-7.240977,112.79512,rumah123
Rumah Pantai Mentari NEW GRESS MINIMALIS STRATEGIS MODERN,1950000000,90.0,135.0,4.0,3.0,2.0,,Unfurnished,-7.240977,112.79512,rumah123
Dijual Rumah 2Lt Baru Renovasi di Pantai Mentari Siap Huni,1500000000,108.0,150.0,2.0,2.0,2.0,1.0,Unfurnished,-7.240977,112.79512,rumah123
Jual Rumah Surabaya di Pantai Mentari,3500000000,250.0,300.0,3.0,2.0,2.0,,Unfurnished,-7.240977,112.79512,rumah123
"Dijual Rumah Bagus, Kokoh,Gress di Pantai Mentari Kenjeran",5000000000,240.0,300.0,4.0,3.0,2.0,2.0,Unfurnished,-7.28917,112.734,rumah123
Dijual Rumah Pantai Mentari Baru Gress,1850000000,90.0,135.0,4.0,3.0,2.0,2.0,Unfurnished,-7.240977,112.79512,rumah123
"Rumah Pantai Mentari Claster Pasific Regency , Sby ( Rumah Sebelahan)",2200000000,102.0,156.0,3.0,3.0,2.0,2.0,Unfurnished,-7.240977,112.79512,rumah123
"Rumah Pantai Mentari Claster Pasific Regency , Sby",2200000000,102.0,156.0,3.0,3.0,2.0,2.0,Unfurnished,-7.240977,112.79512,rumah123
"Pantai Mentari, Rumah, Butuh Renovasi, SHM - Sertifikat Hak Milik",1450000000,120.0,120.0,3.0,2.0,1.0,1.0,Unfurnished,-7.2409768104553,112.79512023926,rumah123
"Pantai Mentari, Rumah, SHM - Sertifikat Hak Milik",2350000000,153.0,194.0,4.0,3.0,2.0,2.0,Unfurnished,-7.2409768104553,112.79512023926,rumah123
