judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,latitude,longitude,sumber_data
Dijual Rumah Sidosermo Wonocolo Surabaya,1500000000,100.0,120.0,3.0,2.0,2.0,,Unfurnished,-7.3132339,112.7508489,rumah123
Tanah Dijual Sidosermo Wonocolo Surabaya,3300000000,360.0,360.0,,,1.0,,Unfurnished,-7.311058720806926,112.75389118650868,rumah123
Dijual Rumah Bendul Merisi Indah Wonocolo Surabaya,7500000000,630.0,630.0,6.0,4.0,2.0,,Unfurnished,-7.307176500000216,112.74465600000391,rumah123
Dijual Rumah Dijalan Sidodadi Surabaya,1300000000,170.0,170.0,5.0,1.0,1.0,,Unfurnished,-7.237631,112.747381,rumah123
Dijual Rumah Dijalan Sombo Simokerto Surabaya,2000000000,264.0,264.0,5.0,2.0,3.0,,Unfurnished,-7.2325716,112.7472998,rumah123
RUMAH DI GEMBONG SAYURAN SURABAYA,1450000000,126.0,90.0,2.0,1.0,1.0,,Unfurnished,-7.23983,112.755432,rumah123
Dijual Rumah Dijalan Donokerto Surabaya,2340000000,171.0,200.0,3.0,3.0,1.0,,Unfurnished,-7.24151,112.7534,rumah123
Dijual Rumah Hitung Tanah Di Gembong,1000000000,110.0,110.0,2.0,1.0,1.0,,Unfurnished,-7.23983,112.75543,rumah123
Dijual Rumah 2Lt Hook,1550000000,107.0,214.0,4.0,3.0,2.0,,Unfurnished,-7.242060299803356,112.74861836459792,rumah123
Rumah di Jual Murah Free Furnished di Dekat Kenjeran Surabaya,790000000,87.0,42.0,2.0,1.0,1.0,1.0,Furnished,-7.23983,112.755432,rumah123
Rumah Bagus 3 Kamar Simokerto Surabaya Gmk00023,1800000000,115.0,200.0,3.0,3.0,2.0,1.0,Unfurnished,-7.24297021926678,112.757539451635,rumah123
"Rumah Murah Pusat Surabaya Kota di Simokerto, Surabaya",1900000000,300.0,408.0,6.0,4.0,2.0,1.0,Unfurnished,-7.23788,112.76038,rumah123
Dijual Rumah di Jl Simolawang Baru,920000000,150.0,150.0,3.0,2.0,1.0,1.0,Unfurnished,-7.23983,112.755432,rumah123
Dijual Rumah Siap Huni Simolawang Baru,900000000,150.0,120.0,2.0,2.0,1.0,,Unfurnished,-7.28917,112.734,rumah123
Di Jual Rumah Kel. : Tambakrejo Kec. : Simokerto Kab : Surabaya,860000000,165.0,165.0,3.0,2.0,2.0,1.0,Unfurnished,-7.23983,112.755432,rumah123
Rumah Panjang Simokerto Dkt Kapasan Kenjeran,1900000000,165.0,150.0,3.0,2.0,1.0,1.0,Unfurnished,-7.23983,112.755432,rumah123
Dijual Rumah 3 LT Baru Tambak Rejo,2500000000,144.0,144.0,5.0,5.0,3.0,1.0,Unfurnished,-7.23983,112.755432,rumah123
Dijual Rumah Daerah Simo Surabaya (At),1300000000,126.0,140.0,2.0,2.0,1.0,,Unfurnished,-7.23983,112.75543,rumah123
Jual Rumah Komersil Strategis di Surabaya Simokerto,1250000000,183.0,150.0,3.0,1.0,1.0,1.0,Unfurnished,-7.23983,112.755432,rumah123
Kapasan Kidul Surabaya Kota,2300000000,210.0,210.0,5.0,4.0,2.0,1.0,Unfurnished,,,rumah123
Rumah Mewah 5 Kt Siap Huni Di Jalan Residen Sudirman ( Pacar Keling ),10000000000,330.0,525.0,5.0,5.0,2.0,2.0,Unfurnished,-7.23983,112.755432,rumah123
Dijual Rumah Dijalan Simolawang Surabaya,1350000000,78.0,78.0,4.0,2.0,2.0,,Unfurnished,-7.23645830001,112.754335,rumah123
Dijual rumah Dijalan Sido Kapasan Surabaya,1100000000,105.0,105.0,4.0,2.0,2.0,,Unfurnished,-7.2390539,112.7495744,rumah123
Araya Minimalis 3 Lantai Baru Gress,3900000000,135.0,330.0,5.0,4.0,3.0,2.0,Unfurnished,-7.28813,112.802902,rumah123
Rumah Hook Mewah Klasik di Araya Full Furnished 3 Lantai SHM,16000000000,592.0,900.0,6.0,6.0,3.0,3.0,Furnished,-7.28813,112.802902,rumah123
Rumah Hook Puri Galaxy Siap Huni Sudah Renov Layout Los Dapat 9 AC,8000000000,436.0,500.0,5.0,4.0,2.0,2.0,Semi Furnished,-7.28813,112.802902,rumah123
"Jual Rumah Klampis Harapan Luas 180M2 Bangunan 1,5 Lantai SHM",2600000000,180.0,200.0,3.0,2.0,1.0,1.0,Unfurnished,-7.28813,112.802902,rumah123
Rumah Baru Manyar Jaya - Hunian Nyaman di Lokasi Strategis,3700000000,160.0,210.0,4.0,3.0,2.0,1.0,Semi Furnished,-7.297523167335157,112.76813933749816,rumah123
"Jual Rumah Siap Huni Sukolilo Dian Regency1 Dkt Keputih,Pakuwon",1150000000,105.0,80.0,3.0,2.0,1.0,1.0,Unfurnished,-7.28813,112.802902,rumah123
Jual Rumah Hook Araya Tahap 2,4300000000,205.0,238.0,5.0,5.0,2.0,2.0,Unfurnished,-7.3071506534121085,112.784918015657,rumah123
"Rumah Manyar Tirtoyoso Selatan, Dekat Merr, Kampus Untag",1950000000,82.0,125.0,4.0,4.0,2.0,2.0,Unfurnished,-7.28813,112.802902,rumah123
"Dijual Rumah, 2 Lanται, Manyar Kartika, 2 Lantai, Shm Dekat Merr",6500000000,300.0,300.0,5.0,4.0,2.0,1.0,Furnished,-7.28813,112.802902,rumah123
"Rumah Manyar Kartika Surabaya Dekat Kampus Untag Unitomo, Merr",6700000000,525.0,400.0,5.0,3.0,1.0,1.0,Semi Furnished,-7.28813,112.802902,rumah123
Rumah Minimalis Baru Araya Galaxy Bumi Permai Surabaya,4500000000,180.0,280.0,6.0,5.0,2.0,,Unfurnished,-7.28813,112.8029,rumah123
RUMAH BARU ARAYA MINIMALIS SURABAYA TIMUR LOKASI CIAMIK,5000000000,186.0,350.0,4.0,4.0,,,Unfurnished,,,rumah123
"Rumah Baru 2Lt Grand Eastern Keputih Surabaya Dekat Merr, I T S, Unair",800000000,35.0,57.0,2.0,2.0,2.0,1.0,Unfurnished,-7.28917,112.734,rumah123
Dijual Rumah di Puri Galaxy Cluster Jasmine Court Surabaya Timur,2900000000,112.0,121.0,4.0,4.0,1.0,1.0,Furnished,-7.28813,112.802902,rumah123
Rumah Baru 2 Lantai di Manyar Rejo,4200000000,165.0,250.0,4.0,4.0,2.0,2.0,Unfurnished,-7.28813,112.802902,rumah123
Rumah Lama Terawat di Manyar Tirtoasri,3100000000,282.0,154.0,4.0,2.0,1.0,1.0,Unfurnished,-7.28813,112.802902,rumah123
Rumah Baru Gress 2 Lantai Wisma Mukti‼️,2200000000,87.0,130.0,3.0,3.0,2.0,2.0,Unfurnished,-7.28813,112.802902,rumah123
Rumah Premium 2 Lantai Kertajaya Indah Regency,7600000000,348.0,385.0,5.0,6.0,2.0,2.0,Unfurnished,-7.28813,112.802902,rumah123
"Manyar Jaya Rumah Lux 1 Lantai 10 X 30 M² Bagus, Lingkungan Aman, Shm, Row Jln 3 Mobil, Jarang Ada. 1 Lantai Senior Tidak Perlu Naik Naik Tangga, Full Furnished Rumah Furnished Bagus SHM - Sertifikat Hak Milik di MANYAR JAYA Dekat UNTAG. UNITOMO.
SURABAYA",5600000000,300.0,230.0,3.0,2.0,,2.0,Furnished,-7.28813,112.8029,rumah123
Rumah 2 Lantai Siap Huni Asem Rowo Surabaya,3000000000,342.0,326.0,7.0,6.0,2.0,1.0,Semi Furnished,-7.24736,112.707764,rumah123
Rumah di Perumahan Citra Graha Mandiri Surabaya Barat,590000000,84.0,84.0,3.0,1.0,1.0,,Unfurnished,-7.24736,112.707764,rumah123
Rumah Tinggal Lokasi Strategis,3500000000,386.0,150.0,3.0,2.0,1.0,,Unfurnished,-7.24736,112.707764,rumah123
Rumah Furnish Dijual Dijalan Tambak Asemrowo Surabaya,1500000000,255.0,255.0,4.0,2.0,1.0,,Furnished,-7.246471036108415,112.71686542627884,rumah123
Rumah Minimalis Jalan Asem Mulya Surabaya,1200000000,225.0,150.0,,,1.0,1.0,Unfurnished,-7.24736,112.707764,rumah123
Dijual Rumah Tambak Mayor Asem Rowo Surabaya,1200000000,60.0,60.0,3.0,2.0,1.0,,Unfurnished,-7.253540250553898,112.70727799995277,rumah123
Runah 2 Lantai Grand Pakuwon Siap Huni Jual Murah North Victoria,2800000000,144.0,156.0,3.0,3.0,2.0,2.0,Semi Furnished,-7.24736,112.707764,rumah123
Dijual Rumah Grand Pakuwon Surabaya Cluster Brisbane,3700000000,144.0,164.0,3.0,3.0,2.0,2.0,Semi Furnished,-7.24736,112.707764,rumah123
Best Buy untuk Pekerja Tanjung Perak & Margomulyo! Rumah 3 KT LT 84 M² - Asemrowo Turun Harga Jadi 590 Juta,590000000,84.0,60.0,3.0,1.0,1.0,1.0,Unfurnished,-7.24736,112.707764,rumah123
Rumah Murah Luas Perum Citra Graha Mandiri Dkt Margomulyo SHM Sby,625000000,84.0,84.0,3.0,1.0,1.0,1.0,Unfurnished,-7.24736,112.707764,rumah123
"Rumah Baru Under 1 M Dekat Perak, Margomulyo di Citra Graha Mandiri",625000000,84.0,78.0,3.0,1.0,1.0,1.0,Unfurnished,-7.24736,112.707764,rumah123
Dijual Rumah Baru Gress Minimalis di Grand Pakuwon,1990000000,90.0,140.0,5.0,4.0,2.0,,Unfurnished,,,rumah123
Dijual Rumah Murah di Citra Graha Mandiri Asemrowo Surabaya,625000000,84.0,84.0,3.0,1.0,1.0,,Unfurnished,-7.24736,112.707764,rumah123
Dijual Rumah di Citra Graha Mandiri Dekat Margomulyo,625000000,84.0,60.0,3.0,1.0,1.0,1.0,Unfurnished,-7.24736,112.707764,rumah123
Murah!! Dijual Cepat Rumah Siap Huni Tengah Kota Jalan Asem,2800000000,260.0,100.0,4.0,2.0,1.0,1.0,Semi Furnished,-7.28917,112.734,rumah123
Dijual Rumah Butuh Renovasi. Cocok Buat Usaha,1900000000,225.0,70.0,5.0,1.0,1.0,1.0,Unfurnished,,,rumah123
Rumah Dijual Grand Pakuwon Surabaya Barat,11000000000,324.0,318.0,4.0,4.0,2.0,1.0,Furnished,-7.24736,112.707764,rumah123
Dijual Rumah Dijalan Nyamplungan Surabaya,3800000000,158.0,158.0,6.0,4.0,4.0,,Unfurnished,-7.2300322,112.7444732,rumah123
Dijual Rumah di Sidotopo Wetan Surabaya Lokasi Strategis Cocok Buat Home Industri,7000000000,812.0,650.0,5.0,5.0,1.0,1.0,Unfurnished,-7.2149,112.748787,rumah123
Rumah Semampir Selatan Dekat 0 Jalan Merr,2500000000,200.0,260.0,5.0,3.0,2.0,,Semi Furnished,-7.2149,112.748787,rumah123
Dijual Rumah Semampir Sukolilo Surabaya Ron.a2177,3000000000,200.0,200.0,4.0,1.0,1.0,1.0,Unfurnished,-7.2149,112.748787,rumah123
Dijual Rumah Semampir Aws Dekat Kampus Aws Surabaya,1200000000,200.0,200.0,5.0,3.0,1.0,1.0,Unfurnished,-7.2149,112.748787,rumah123
Dijual Rumah Semampir Selatan Nanas Sukolilo Surabaya Ron.a2323,900000000,75.0,75.0,5.0,3.0,3.0,,Unfurnished,-7.2149,112.748787,rumah123
"Rumah Semampir Tengah Siap Huni, Selangkah ke Merr",2390000000,200.0,150.0,3.0,1.0,1.0,,Unfurnished,,,rumah123
Rumah Murah Siap.pakai bisa D Buat Kantor atau Kos2an Lokasi Sidotopo,2200000000,300.0,250.0,6.0,3.0,1.0,1.0,Unfurnished,-7.2149,112.748787,rumah123
Dijual Rumah Dijalan Kedinding Lor Surabaya,6500000000,410.0,410.0,4.0,2.0,2.0,,Unfurnished,-7.221519560888908,112.76928805543749,rumah123
"Rumah di Semampir, Surabaya Timur. Dekat MERR.",750000000,75.0,105.0,4.0,2.0,2.0,,Unfurnished,-7.2149,112.748787,rumah123
Dijual Rumah Dijalan Ampel Lonceng Surabaya,5000000000,397.0,397.0,7.0,3.0,1.0,,Unfurnished,-7.2307203,112.7418508,rumah123
Rumah 2 Lantai Bagus Di Semampir. Dekat Merr. Baruk Utara. Baruk Barat. Nirwana Executive. Semolowaru. Klampis. Klampis Semolo Barat. Klampis Semolo Timur. Araya. Galaxy Bumi Permai,1680000000,100.0,140.0,4.0,3.0,2.0,2.0,Unfurnished,-7.2149,112.74879,rumah123
Dijual Rumah New Gress Progres Araya Galaxy Bumi Permai 2 Surabaya,2650000000,75.0,160.0,4.0,3.0,2.0,2.0,Unfurnished,-7.2149,112.748787,rumah123
Rumah Under 1 M di Greenlake Wonorejo,650000000,72.0,72.0,2.0,1.0,1.0,1.0,Unfurnished,-7.2149,112.748787,rumah123
Dijual Siap Huni -Wisma Medokan Ykp Surabaya,1800000000,144.0,115.0,3.0,2.0,2.0,1.0,Unfurnished,-7.2149,112.748787,rumah123
Dijual Rumah Baru Minimalis Modern di Araya Surabaya Timur,3590000000,135.0,135.0,4.0,3.0,3.0,2.0,Unfurnished,-7.2149,112.748787,rumah123
Dijual Rumah Semampir Aws Sukolilo Surabaya Ron.a1422,850000000,100.0,100.0,2.0,2.0,2.0,1.0,Unfurnished,-7.2149,112.748787,rumah123
Dijual Rumah Semampir Tengah Sukolilo Surabaya Ron.a635,1600000000,200.0,190.0,5.0,3.0,2.0,2.0,Unfurnished,-7.2149,112.748787,rumah123
"Rumah Usaha 2,5 Lantai di Perumahan Gunungsari Indah Surabaya, Murah!",1000000000,96.0,180.0,,2.0,3.0,,Unfurnished,-7.3152,112.7053816,rumah123
"Rumah Megah Royal Residence Surabaya Barat Dekat Pakuwon Mall, Pintu Tol Gunungsari",12000000000,450.0,1000.0,12.0,7.0,3.0,1.0,Unfurnished,,,rumah123
Dijual Rumah Grand Harvest Surabaya Cluster Caspia,1270000000,60.0,80.0,2.0,2.0,2.0,1.0,Unfurnished,-7.31097,112.698067,rumah123
Rumah Wisata Bukit Mas Minimalis Harga bisa Nego Tipis,2700000000,180.0,180.0,3.0,2.0,2.0,1.0,Unfurnished,-7.31097,112.69807,rumah123
Dijual Rumah Graha Family Golf View Lengkap dengan Pool,43500000000,900.0,850.0,5.0,5.0,2.0,2.0,Semi Furnished,-7.31097,112.698067,rumah123
"Rumah Bagus 2 Lantai, Strategis di Taman Pondok Indah Wiyung",1200000000,84.0,160.0,4.0,1.0,2.0,,Unfurnished,,,rumah123
Dijual Rumah Royal Residence Green Wich Hook,2950000000,100.0,125.0,4.0,3.0,2.0,,Unfurnished,-7.31097,112.698067,rumah123
Rumah 2 LT Terawat Semi Furnished Babatan Pratama Wiyung Surabaya,1350000000,120.0,140.0,3.0,3.0,2.0,1.0,Semi Furnished,-7.28917,112.734,rumah123
Jual Cepat Rumah Siap Huni Babatan Pratama Wiyung Surabaya Barat,1600000000,192.0,97.0,3.0,2.0,1.0,1.0,Unfurnished,-7.28917,112.734,rumah123
Muraah!!! Rumah Siap Huni Babatan Pratama Wiyung Surabaya Barat,1000000000,90.0,125.0,2.0,1.0,,1.0,Unfurnished,-7.31097,112.69807,rumah123
"Dijual Rumah 2 Lantai Daerah Citraland Utama Clusterfullerton, Surabaya Barat",7000000000,210.0,500.0,6.0,7.0,2.0,2.0,Unfurnished,-7.28917,112.734,rumah123
"Dijual Rumah 2 Lantai Perumahan Royal Residence, Surabaya Barat",6750000000,375.0,450.0,6.0,5.0,2.0,2.0,Semi Furnished,-7.31097,112.698067,rumah123
"Dijual Rumah 3 Lantai Daerah Perumahan Royal Residence, Wiyung, Surabaya Barat",7000000000,180.0,406.0,5.0,5.0,3.0,3.0,Furnished,-7.31097,112.698067,rumah123
"Dijual Rumah 2 Lantai Perumahan Royal Residence, Wiyung, Surabaya Barat",7500000000,382.0,400.0,5.0,4.0,2.0,2.0,Unfurnished,-7.31097,112.698067,rumah123
*Rumah Baru Gress Graha Family Vb*,7000000000,200.0,214.0,4.0,4.0,2.0,,Unfurnished,-7.28917,112.734,rumah123
Rumah di Perumahan Elite Graha Family,6150000000,312.0,450.0,5.0,4.0,1.0,,Unfurnished,-7.295827,112.684457,rumah123
Rumah Tumbuh Wiyung Murah Harga di Bawah NJOP di Dalam Prumahan,670000000,92.0,36.0,2.0,1.0,1.0,1.0,Unfurnished,-7.31097,112.698067,rumah123
Rumah Furnish Prambanan Only 3Man di Wiyung Sblh Wisata Bukit Mas,3650000000,184.0,250.0,4.0,3.0,2.0,,Furnished,-7.31097,112.698067,rumah123
"Dijual Rumah Minimalis 3 Lantai Full Furnished Oasia, Dian Istana",1800000000,46.0,103.0,3.0,3.0,3.0,1.0,Furnished,-7.3066618,112.6955524,rumah123
Dijual Rumah di Jl Kanginan,1000000000,105.0,105.0,2.0,2.0,1.0,,Unfurnished,-7.26125,112.742767,rumah123
Dijual Rumah Tengah Kota Surabaya Lokasi Komersial,39900000000,877.0,670.0,4.0,4.0,1.0,4.0,Unfurnished,-7.264832450696147,112.74386646797892,rumah123
Dijual Rumah Lama Strategis di Jalan Raya Kapasari Surabaya,18000000000,666.0,350.0,9.0,4.0,1.0,,Unfurnished,-7.26125,112.742767,rumah123
*Dijual Rumah Hitung Tanah Komersial Raya Pengampon Surabaya*,15000000000,610.0,300.0,3.0,2.0,1.0,1.0,Unfurnished,-7.26125,112.742767,rumah123
Dijual Rumah Usaha Dijalan Kayoon Pusat Kota Surabaya,59320000000,2373.0,1000.0,,4.0,1.0,,Unfurnished,-7.26125,112.74277,rumah123
"Jual Rumah Hitung Tanah. Lokasi Strategis. Dekat Tunjungan Plaza, Area Cafe. Resto. Nego",16000000000,530.0,300.0,4.0,3.0,1.0,3.0,Unfurnished,-7.26125,112.742767,rumah123
Rumah Di Pusat Kota Jl Walikota Mustajab Surabaya,10000000000,257.0,200.0,4.0,1.0,1.0,2.0,Unfurnished,-7.28917,112.734,rumah123
Rumah Jual Nyaman di Jl. Kalianyar Wetan Genteng Surabaya,1000000000,231.0,231.0,6.0,2.0,1.0,,Unfurnished,-7.2478185426699,112.748689442596,rumah123
Rumah 2 Lantai Tengah Kota Ambengan Surabaya,3500000000,250.0,360.0,6.0,4.0,2.0,,Unfurnished,,,rumah123
Jual Rumah 1 Lantai Siap Huni Daerah Genteng Surabaya Pusat,10000000000,529.0,271.0,5.0,3.0,1.0,1.0,Unfurnished,-7.26125,112.742767,rumah123
Jual Rumah Kapasari Cocok untuk Rukos,1200000000,113.0,203.0,6.0,2.0,,,Unfurnished,,,rumah123
Rumah Dijual Dijalan Kemuning Surabaya Pusat,10000000000,484.0,484.0,1.0,1.0,1.0,,Unfurnished,-7.2580371,112.7464026,rumah123
Rumah Walikota Mustajab Komersial Area Pusat Kota Surabaya [813],23000000000,604.0,462.0,3.0,3.0,1.0,6.0,Unfurnished,-7.26125,112.742767,rumah123
Jual Cepat Komersial Area Tengah Kota Surabaya Dekat Alun Alun,23000000000,604.0,462.0,4.0,4.0,2.0,6.0,Unfurnished,-7.26125,112.742767,rumah123
"Jual Rumah Jalan Jaksa Agung Suprapto, Luas, Terawat",19000000000,881.0,550.0,5.0,3.0,1.0,16.0,Unfurnished,-7.26125,112.742767,rumah123
Rumah Pusat Kota Nol Jalan di Wijaya Kusuma Genteng Surabaya,38000000000,1000.0,950.0,7.0,3.0,2.0,4.0,Unfurnished,-7.26125,112.742767,rumah123
"*Turun Harga ~28 M~ 23 M Rumah Komersial Area Pusat Kota Sby**Walikota Mustajab*✅ Lokasi Prestisius & Strategis ✅ Cocok untuk Usaha Cafe, Kantor, Dll✅ Dekat Grand City Mall✅ Dekat Balaikota Sby",23000000000,604.0,462.0,3.0,3.0,1.0,6.0,Unfurnished,-7.28917,112.734,rumah123
Dijual Cepat Rumah Baru SHM 2 Lantai Murah Plozo Timur,730000000,48.0,87.0,3.0,2.0,2.0,1.0,Unfurnished,-7.25371,112.753212,rumah123
Rumah Dijual Karang Asem Siap Huni,1200000000,160.0,120.0,3.0,2.0,2.0,1.0,Unfurnished,-7.25428719657566,112.76608874577512,rumah123
Rumah Kapas Gading Madya Siap Huni,525000000,50.0,100.0,3.0,2.0,2.0,1.0,Semi Furnished,-7.2370717,112.7721633,rumah123
Butuh Jual Cepat Rumah 2 Lantai Setro Baru,750000000,80.0,161.0,4.0,3.0,2.0,,Unfurnished,-7.25371,112.753212,rumah123
Jual Rumah Minimalis Lebak Indah Regency Scandinavian Blok F,1300000000,64.0,128.0,3.0,2.0,2.0,,Unfurnished,-7.25371,112.753212,rumah123
Jual Rumah Minimalis Lebak Indah Regency Scandinavian Blok F(2Unit),1300000000,62.0,124.0,3.0,2.0,2.0,,Unfurnished,-7.25371,112.753212,rumah123
Jual Rumah Hook Ngantong Blok F Lebak Indah Regency Scandinavian,1600000000,84.0,168.0,3.0,2.0,2.0,,Unfurnished,-7.25371,112.753212,rumah123
Jual Rumah Blok C Minimalis Lebak Indah Regency Scandinavian,1200000000,57.0,115.0,3.0,2.0,2.0,,Unfurnished,-7.25371,112.753212,rumah123
Rumah Lebak Indah Utara Surabaya Murah. Ron.a3039,1200000000,180.0,138.0,,,1.0,,Unfurnished,-7.28917,112.734,rumah123
Nego Sampai Deal Rumah Lebak Arum Surabaya Dekat Universitas Muhammadiyah Surabaya,1990000000,137.0,206.0,5.0,4.0,2.0,1.0,Unfurnished,-7.25371,112.753212,rumah123
Rumah Surabaya Tambaksari Dekat Pusat Kota Gres Siap Huni,1560000000,122.0,137.0,4.0,3.0,2.0,1.0,Unfurnished,-7.25371,112.753212,rumah123
Ploso Timur 1 LT Jual Cepat Butuh Uang Cash Only,1500000000,134.0,119.0,4.0,3.0,1.0,,Unfurnished,-7.25371,112.753212,rumah123
Bangunan Bagus Best Price !! Rumah Lebak Arum Siap Nego SHM 2 Lantau Minimalis Dekat Kenjeran,1900000000,137.0,206.0,4.0,3.0,2.0,2.0,Unfurnished,-7.25371,112.753212,rumah123
"Rumah 1 Lantai di Lebak Timur Indah, Kenjeran Surabaya.",2750000000,213.0,200.0,2.0,1.0,1.0,1.0,Unfurnished,-7.28917,112.734,rumah123
"Rumah 2 Lantai Di Jalan Ngaglik, Surabaya.",7000000000,200.0,400.0,6.0,5.0,2.0,2.0,Unfurnished,-7.25371,112.75321,rumah123
Terima Renov Rumah Usaha Lebak Rejo,1250000000,182.0,300.0,3.0,2.0,2.0,1.0,Unfurnished,-7.25371,112.753212,rumah123
Mei Selesai! Dijual Rumah Ploso! 2 LT Baru Gress! Terbatas!,850000000,48.0,48.0,3.0,2.0,2.0,,Unfurnished,-7.28917,112.734,rumah123
Dijual Rumah Cantik 2 Lantai Siap Huni Lebak Jaya Surabaya Timur Rev.a1130,1100000000,57.0,114.0,3.0,2.0,2.0,1.0,Furnished,-7.25371,112.753212,rumah123
Dijual Rumah Murah Darmo Harapan Siap Huni,2500000000,220.0,230.0,3.0,2.0,1.0,1.0,Unfurnished,-7.28917,112.734,rumah123
Dijual Rumah Kupang Jaya Masih Terawat,1600000000,136.0,160.0,3.0,3.0,2.0,1.0,Unfurnished,-7.26548,112.698799,rumah123
Satelit Utara.rumah Baru 2Lt Strategis Kemana Mana Dekat,1900000000,96.0,135.0,3.0,2.0,2.0,2.0,Unfurnished,-7.26548,112.698799,rumah123
Murah Nol Jalan Raya Sukomanunggal Jaya Cck Utk Usaha,5990000000,300.0,245.0,4.0,3.0,1.0,1.0,Unfurnished,-7.26548,112.698799,rumah123
Rumah Gress Free DP Satelit Surabaya Dekat Skolah Gloria & Petra,1500000000,60.0,73.0,4.0,2.0,2.0,2.0,Unfurnished,-7.28917,112.734,rumah123
Rumah Strategis Siaphuni Raya Satelit Surabaya,11500000000,600.0,870.0,8.0,4.0,2.0,4.0,Unfurnished,-7.26548,112.698799,rumah123
"Dijual Rumah Daerah Sukomanunggal Jaya, Surabaya Barat",4000000000,250.0,230.0,4.0,2.0,1.0,1.0,Unfurnished,-7.26548,112.698799,rumah123
Rumah Sukomanunggal Jaya Harga Hitung Tanah,2750000000,234.0,170.0,2.0,3.0,1.0,2.0,Unfurnished,-7.26548,112.698799,rumah123
Dijual Cepat Rumah 2 Lantai Darmo Harapan Posisi Hook Surabaya Barat*,8500000000,352.0,264.0,6.0,4.0,2.0,2.0,Unfurnished,-7.26548,112.698799,rumah123
Hunian 1 Lantai Modern Minimalis di Darmo Harapan Surabaya Barat,2650000000,195.0,133.0,3.0,3.0,1.0,2.0,Unfurnished,-7.26548,112.698799,rumah123
"Dijual Rumah Raya Satelit Strategis Komersial Siap Huni, Jalanan Ramai",10500000000,600.0,860.0,8.0,4.0,2.0,4.0,Unfurnished,-7.26548,112.698799,rumah123
Rumah Murah Jalan Raya Darmo Indah Sari Dekat Darmo Harapan,2500000000,329.0,210.0,7.0,5.0,2.0,2.0,Unfurnished,-7.26548,112.698799,rumah123
"Rumah Bagus 1 Lantai di Area Darmo Harapan, Surabaya.",2100000000,180.0,150.0,4.0,2.0,1.0,,Unfurnished,-7.28917,112.734,rumah123
Dijual Rumah Usaha di Darmo Baru Barat,5500000000,207.0,207.0,1.0,2.0,2.0,1.0,Unfurnished,-7.26548,112.698799,rumah123
Rumah Darmo Harapan Siap Huni Terawat Lokasi Padat Penduduk,2650000000,195.0,133.0,3.0,3.0,1.0,2.0,Unfurnished,-7.26548,112.6988,rumah123
Dijual Rumah Dua Lantai di Sukomanunggal Jaya,7700000000,448.0,534.0,5.0,3.0,2.0,1.0,Unfurnished,-7.26548,112.698799,rumah123
Dijual Rumah 1 Lantai Siap Huni di Sukomanunggal Jaya,17500000000,525.0,350.0,4.0,3.0,1.0,1.0,Unfurnished,-7.26548,112.698799,rumah123
Di Jual Rumah di Sukomanunggal Jaya,17500000000,525.0,350.0,4.0,3.0,1.0,1.0,Unfurnished,-7.26548,112.698799,rumah123
2078. Jual Rumah Hitung Tanah Pusat Kota Jl. Taman Darmo Harapan Sukomanunggal Surabaya,6100000000,449.0,400.0,4.0,4.0,2.0,1.0,Unfurnished,-7.26548,112.698799,rumah123
Rumah Sukomanunggal Jaya Hitung Tanah,2750000000,234.0,170.0,2.0,3.0,1.0,,Unfurnished,-7.26548,112.698799,rumah123
Dijual Rumah Area Tengah Kota ..Jl Jagalan ..Akses Motor..Ke Arah Jl di Lewati Mobil Tdk Jauh..,235000000,20.0,40.0,2.0,2.0,2.0,,Unfurnished,-7.2248,112.73217,rumah123
"Nego Sampai Deal Rumah Komersial Cocok untuk Perkantoran, Pergudangan di Perak Surabaya",5000000000,240.0,270.0,2.0,2.0,2.0,,Unfurnished,-7.2248,112.73217,rumah123
Rumah Bagus 2 Lantai Dekat Kawasan Religi Masjid Ampel S9611,5500000000,243.0,350.0,7.0,5.0,2.0,,Furnished,-7.2306611,112.7397993,rumah123
Dijual Rumah Teluk Kumai Barat Pabean Cantikan Surabaya,1600000000,136.0,136.0,9.0,9.0,2.0,,Unfurnished,-7.219072961529847,112.73326155176876,rumah123
Dijual Rumah SHM di Jl Pesapen Kali Pabean Cantian Surabaya,4600000000,596.0,390.0,8.0,6.0,1.0,,Unfurnished,-7.2248,112.73217,rumah123
Dijual Rumah Jl Nelayan Selangkah Jl.rajawali Lebar 7M,900000000,70.0,140.0,,,1.0,,Unfurnished,-7.2248,112.73217,rumah123
Dijual Rumah Jalan Sampoerna Pabean Cantikan Surabaya,1600000000,72.0,160.0,2.0,2.0,2.0,,Unfurnished,-7.2312661,112.734468,rumah123
"Kalimas Timur Nol Jalan ,Komersil Area, Nego Sampai Deal",1600000000,230.0,230.0,3.0,2.0,1.0,,Unfurnished,-7.2248,112.73217,rumah123
Murah Rumah untuk Usaha Stategis Jalan Pengampon Dekat Pasar Atum Dijual Dibawah Appraisal Bank Nol Jalan Raya Dekat Pasar Atum,15000000000,610.0,600.0,3.0,3.0,1.0,2.0,Unfurnished,-7.28917,112.734,rumah123
Rumah Bagus 2 Lantai Dekat Kawasan Religi Masjid Ampel S 9611,5500000000,243.0,350.0,7.0,5.0,,,Furnished,-7.2306611,112.7397993,rumah123
